site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper,GPP_Rhat,ER_Rhat,K600_Rhat,msgs.fit,warnings,errors,DO_fit
DL,2020-09-14,4.656771294372459,3.9072849479360237,5.410489706395563,-4.679565174714837,-5.775199975651421,-3.6384398740332977,6.004340502769752,4.874931946092132,7.222868182941256,1.0091179263307524,1.00853051974273,1.0068148987808483,w      ,,,NA
DL,2020-09-15,6.495482567333735,5.687759790576043,7.293063835305379,-5.6821463475667,-6.759016199295566,-4.625956518094877,6.944387571041816,5.878411473381001,7.998509255921831,1.018637750969948,1.0053115094904927,1.0131564207390098,w      ,,,NA
DL,2020-09-16,6.415631754335399,5.587683021165323,7.211830651666973,-5.747716825679177,-6.78151225097806,-4.71678500861935,6.782271817327853,5.714354508389697,7.830476466697741,1.0178479733356987,1.0131817764441353,1.0109082891340404,w      ,,,NA
DL,2020-09-17,6.997983363338539,6.179698413855565,7.8260724333663045,-6.264214671228201,-7.328962226344533,-5.2564170149792675,7.48584396178566,6.426380913434318,8.57687503271246,1.0059938330690468,1.002551324292068,1.0056367667053947,w      ,,,NA
DL,2020-09-18,7.299332021981883,6.384156904509681,8.158091501997324,-7.247884625903134,-8.333551136268328,-6.120822510390947,8.707270436812326,7.476743952308975,9.988579882748818,1.0096218852139072,1.0094849446230476,1.0060265291214916,w      ,,,NA
DL,2020-09-19,4.51652113593863,3.868398522718172,5.1673019927306765,-5.337293016290062,-6.380752055534262,-4.241425144388393,4.6534474172104066,3.6552563180999575,5.7095724335999964,1.0085734787302276,1.0081095635261859,1.0033109328808307,w      ,,,NA
DL,2020-09-20,6.032005964000435,5.256014931051115,6.817543413325528,-5.857091116346245,-6.972470267260953,-4.759678861786343,7.0251792768810315,5.857816249475786,8.188939871129778,1.007911326874935,1.0066265980080618,1.0051575500447048,w      ,,,NA
DL,2020-09-21,5.294073439718408,4.543487808425489,6.071642492360134,-5.44788653992768,-6.523571764866287,-4.350688693529082,6.69708038466019,5.595594138918621,7.857960079878519,1.0332674666323678,1.0261817144773582,1.0227760711777596,w      ,,,NA
DL,2020-09-22,5.763250916228548,4.894406132891334,6.653836821624568,-6.396678462680365,-7.68876199447034,-5.179241636712048,8.23767584738782,6.835303532355412,9.744177327629792,1.0120904971885285,1.0111885568569552,1.00907438235073,w      ,,,NA
DL,2020-09-23,5.867207463956486,5.091060001833259,6.679260725931736,-5.959667251503896,-7.097867407871554,-4.881057597776581,6.810994158972636,5.73447169058967,7.922645557272688,1.0042830264091405,1.0048864034592453,1.006192939030626,w      ,,,NA
DL,2020-09-24,3.9766817221436934,3.21382080116105,4.673002796330789,-4.510433575804719,-5.706669341888294,-3.309401113335059,6.3631027159026345,4.955194118764718,7.729962489731954,1.0143212290095125,1.0139026774899886,1.0095459215358296,w      ,,,NA
DL,2020-09-25,3.462043287800122,2.774413128282679,4.157998302369521,-4.233742251238704,-5.31658298180311,-3.150474110381884,6.25873872025851,4.883533087007717,7.808029575040814,1.0043663483085874,1.0048012935158057,1.0017282393974474,w      ,,,NA
DL,2020-09-26,4.747755051160692,3.9871269248849006,5.48341612638383,-5.296791745472987,-6.4246569756737095,-4.174083364246997,6.664748294921811,5.350869713857706,8.005751861160348,1.0069147856333645,1.0082599990181342,1.0095146594324556,w      ,,,NA
DL,2020-09-27,4.640826225527624,3.9291655959534273,5.388650571883303,-5.131453088136285,-6.304578705889439,-4.060554912826283,6.627955203898816,5.408096807241745,7.876747641054671,1.0000570208312491,1.0008000726462727,1.000312949321283,w      ,,,NA
DL,2020-09-28,4.584567638973546,3.845815175192541,5.280742168736406,-5.176496434131277,-6.202654901809218,-4.140329266451455,6.538059542772689,5.3494202016653665,7.685751128653278,1.0079072812781733,1.006724020251433,1.0022765655444725,w      ,,,NA
DL,2020-09-29,5.423389557316051,4.56108672470461,6.158968378247628,-6.23095391637843,-7.352722772728811,-5.058781611675034,7.288395301439349,6.0552202700615325,8.42533037767832,1.0166445723544941,1.0133562652344519,1.0164707553436365,w      ,,,NA
DL,2020-09-30,5.289371956534728,4.555385627705548,6.037341898691042,-6.024782155484747,-7.104624588638176,-4.93670405034657,7.034548595704484,5.927879427754667,8.210963410919335,1.0057412273118693,1.0040422266847029,1.0080354800156943,w      ,,,NA
DL,2020-10-01,5.754279649494941,4.88710954152049,6.499998651573673,-6.49907567491435,-7.6095651993251225,-5.314019004217932,7.6775946091028,6.393213298448352,8.867716766125273,1.010365632850239,1.0099196328444602,1.0114967200941887,w      ,,,NA
DL,2020-10-02,5.159323252986054,4.404592605997742,5.931313641567042,-5.754257686932373,-6.847009159075524,-4.626298876694993,6.987469361566505,5.867103514221236,8.181286627495478,1.0038766327394566,1.0029273608788263,1.0097421138227536,w      ,,,NA
DL,2020-10-03,4.8924122345091146,4.16172392820966,5.607841478531188,-5.686889556842798,-6.717560256132694,-4.575905412582132,6.514996163371246,5.406861961640608,7.652814366958702,1.0045643194457308,1.0035213068594975,1.0012450012724465,w      ,,,NA
DL,2020-10-04,5.092975296923328,4.332703418283725,5.807379717799663,-5.6908745897755555,-6.797034149949729,-4.63185984674865,6.5383061548725765,5.390267904073155,7.614321215410964,1.0028273466560358,1.0063167252443999,1.0008711925199831,w      ,,,NA
DL,2020-10-05,4.716943713258945,4.0237672256320405,5.4486785458824105,-5.515264295105288,-6.605977661044854,-4.416416538503707,6.294385493263393,5.17177798346444,7.437068641644794,1.0101513993410478,1.0080587622615902,1.007289312515989,w      ,,,NA
DL,2020-10-06,5.0190845630004315,4.276624401863888,5.748919210905346,-5.7868041210690375,-6.904729148319096,-4.64892741642336,6.627292133241052,5.430603752891939,7.719239414029408,1.0130596432633097,1.009919070961539,1.01754215391136,w      ,,,NA
DL,2020-10-07,5.138303798190566,4.435575786880578,5.822265376167782,-6.020677913581482,-7.073184515875464,-4.9668722684610636,6.456595564943944,5.3933342328812826,7.536046456512925,1.0245428179493787,1.014979186828296,1.0151280398252323,w      ,,,NA
DL,2020-10-08,5.526667294154979,4.82706517823984,6.233171637688821,-5.8189160404030495,-6.901876155417834,-4.800403772224374,6.546401307184496,5.520668451124106,7.557008231166172,1.0110467936148964,1.0091390294131615,1.0108624392538514,w      ,,,NA
DL,2020-10-09,4.679181756444414,3.964653527202141,5.343198913339929,-5.216505755682242,-6.237391627580938,-4.150603295114876,6.551731041065362,5.429337811640349,7.642362093329331,1.0098205486992262,1.0071125944452892,1.0062630996119355,w      ,,,NA
DL,2020-10-10,4.629493029282683,3.8281342009797426,5.463849653907428,-6.187125289320823,-7.539661443875617,-4.894676296981349,8.304593568865222,6.5920202210999,10.00085753383818,1.0050816430339435,1.0084660740991556,1.0050495768262941,w      ,,,NA
DL,2020-10-11,3.8482510225059086,3.20480743513428,4.430245132229807,-4.759851777421872,-5.7656987480902036,-3.685791023143514,6.010191486235522,4.849083226744757,7.305357348453538,1.0078767806385651,1.010487970978299,1.0067942213314593,w      ,,,NA
DL,2020-10-12,3.926798428081645,3.2335194926658186,4.595524378879907,-4.864018333796162,-5.965402432030678,-3.7851337797326807,6.1790334652974455,4.92972159883802,7.4945732926937465,1.006445251060208,1.0036770817510494,1.0032484966600268,w      ,,,NA
DL,2020-10-13,2.6333133806138616,2.0337958946017602,3.241808446799494,-4.469532325630032,-5.6580453287765895,-3.3150342041912566,6.006709330816987,4.583718583319173,7.667808641972805,1.0140424277378257,1.0077416553131222,1.0048189011980622,w      ,,,NA
DL,2020-10-14,3.5133437278364195,2.856799144182185,4.139073286051942,-4.919580589010595,-6.070960284520363,-3.7141438540429985,6.529178813324796,5.058469899974724,7.94181268310246,1.008601625426811,1.011911282396365,1.0108540211229047,w      ,,,NA
DL,2020-10-15,3.735047353319205,3.1033318493926774,4.3824376210441,-5.3880555551223575,-6.563296215669573,-4.232893154184136,7.28137555822568,5.807309907699576,8.859121231471637,1.002332226242326,1.002073926656832,1.0016535010755476,w      ,,,NA
DL,2020-10-16,3.0033090061886236,2.3332229339482407,3.64018481774165,-6.250041822429697,-7.586214287546496,-4.921715510379127,7.8330865638622145,6.111748617113138,9.819935609858565,1.0039994858266248,1.0051707818131494,1.0060707062647416,w      ,,,NA
DL,2020-10-17,3.1866463819827207,2.5322038698791145,3.82544794020635,-6.172320500855666,-7.709135473732337,-4.663536143455519,8.27136348373395,6.178919685552441,10.36496420665208,1.0066261316947867,1.0131099730081097,1.0150354568984463,w      ,,,NA
DL,2020-10-18,3.357334796963606,2.6327637956212793,4.072185717673525,-6.360337842927735,-7.816217781608515,-4.77310454732093,9.134120663708472,6.779651678266788,11.517064039040584,1.009801745330767,1.0118326325215978,1.0093001194922353,w      ,,,NA
DL,2020-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
DL,2021-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
DL,2021-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
