site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper,light,q.cms,epil_gm2_fit,fila_gm2_fit,epil_chla_mgm2_fit,fila_chla_mgm2_fit,epil_gm2_se,fila_gm2_se,epil_chla_mgm2_se,fila_chla_mgm2_se,log_q
GR,2021-09-26,11.586685910165372,9.70890179291998,13.408687626723063,-11.685110862393568,-13.678797418359173,-9.71119067318667,24.374243423229142,20.582379920015153,28.165776117287383,0.5556022664555563,NA,18.323334545140156,18.613705726158763,48.73309192477315,55.45985827077508,2.6643523463449235,22.31097283839707,5.8282163877631,34.05542927313809,NA
GR,2021-09-27,10.070981918298632,8.442238936243747,11.642501229184012,-10.146862824066218,-11.93358636734551,-8.338756788129574,21.75044201692424,18.38523854524416,25.042041411434127,0.5502131913387647,NA,18.5544266924556,18.15600505995264,49.57156364733669,54.87945125310729,2.655798641090205,22.485484744346056,5.799345481949106,34.06549288043021,NA
GR,2021-09-28,6.181303497286672,4.9040978701559705,7.471522723039224,-6.93487461312152,-8.650750574870047,-5.248655555584701,18.08335675578062,14.45898334067958,21.97855570306733,0.33557102351298645,NA,18.784625090931975,17.69992124094479,50.41870955133447,54.384079995193666,2.6502409538434097,22.67509578959666,5.777408736753856,34.130770146509136,NA
GR,2021-09-29,9.131966550151564,7.318680217096139,10.921505359927988,-9.787358301875006,-11.82714007236342,-7.70289295399312,24.62500721972284,20.041539118895017,29.27835226509716,0.5367503547032006,NA,19.01407489917181,17.245390981954507,51.27391281630511,53.98611027964807,2.647580793325407,22.879828085957925,5.762992726954843,34.246691417365156,NA
GR,2021-09-30,8.566319401185876,6.988620013260475,10.306770650079216,-9.635708309440268,-11.622276297575729,-7.671017468275561,23.38777999237707,19.217581509448983,27.785116610931524,0.5336836897112306,NA,19.242953730537376,16.792344321794268,52.13653844406837,53.69485615195322,2.6479425549623756,23.099715043391672,5.757028470386192,34.41155945658965,NA
GR,2021-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49376483368662044,NA,19.471592058267735,16.34067965025988,53.00586684605998,53.504625440822224,2.652087952208149,23.334886419061256,5.761387236118764,34.631910424933196,NA
GR,2021-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5294575436092224,NA,19.700444973714323,15.890268871182494,53.8811127379641,53.39547716497721,2.6612940069974846,23.585535499704584,5.778693805903196,34.92000168119003,NA
GR,2021-10-03,9.119282268425705,7.358041067929257,10.816999844413596,-10.59966055136736,-12.628979815604453,-8.448705099341907,25.06440445704618,20.61313479097608,29.486516339054266,0.5156432669685553,NA,19.929990609066948,15.440978935403932,54.761478955956704,53.34467107492514,2.6768220862133765,23.85180663779184,5.8115374415919,35.28607585244332,NA
GR,2021-10-04,9.48306871823675,7.823868768178862,11.118456350715098,-10.547717059347216,-12.457396561452656,-8.623591609097145,24.27737867543013,20.275860272970796,28.478685698543313,0.5137008652024401,NA,20.160707096515303,14.992676793765895,55.64616833621378,53.32946692117,2.6996943445978903,24.13375517326988,5.862130170281154,35.73535237259072,NA
GR,2021-10-05,8.762002727001402,7.342798912648659,10.274685145321303,-8.839896466873226,-10.518726289600968,-7.2528234375779475,21.053251921114928,17.68064945896525,24.614791277695495,0.5098172930647613,NA,20.3930725682491,14.545229397110162,56.53438371491122,53.32712445421972,2.730622201103398,24.431339668640906,5.932181271993751,36.26743790958179,NA
GR,2021-10-06,8.892102796615312,7.257824972348941,10.51620178217073,-9.723297838341583,-11.576399442100604,-7.833948986355055,23.840973424861257,19.671316891624627,28.04825472452041,0.45483281725587665,NA,20.627565156458058,14.098503696278463,57.42532792822508,53.31490342458235,2.7700068157991677,24.744426645769785,6.022871719888722,36.87695065311876,NA
GR,2021-10-07,6.19803826186644,4.940423351283286,7.467573865687614,-8.488526867158466,-10.391886442900208,-6.649805785611535,21.91736297806149,17.617898343502176,26.616555143156656,0.29373685640240205,NA,20.864625385806335,13.652374646915176,58.31824226631805,53.27169191107694,2.8180558200834285,25.072826528286395,6.134995940425645,37.55661725696999,NA
GR,2021-10-08,8.703194836194722,6.85655935345254,10.606770529731111,-11.142778994348308,-13.691742697571934,-8.693958610904874,29.08242780439941,23.10262749668116,35.28823966128845,0.3830097597869392,NA,21.10454335085585,13.206749223874985,59.21252183529998,53.18289130578792,2.875048555957465,25.416382989656316,6.26931345130186,38.30430603221823,NA
