site,date,doy,year,light,NPP,NPP_chla,NPP_mod,NPP_upper,NPP_lower,epilithon_chla_per_gm,epil_chla_mgm2_fit,epil_chla_mgm2_lower,epil_chla_mgm2_upper,epil_gm2_est,epil_gm2_lower,epil_gm2_upper,epiphyton_chla_per_gm,epip_chla_mgm2_fit,epip_chla_mgm2_lower,epip_chla_mgm2_upper,epip_gm2_est,epip_gm2_lower,epip_gm2_upper,fila_chla_per_gm,fila_chla_mgm2_fit,fila_chla_mgm2_lower,fila_chla_mgm2_upper,fila_gm2_est,fila_gm2_lower,fila_gm2_upper,frac_fila,frac_fila_upper,frac_fila_lower,lscale,mu_epil_med,mu_epil_low,mu_epil_high,mu_epip_med,mu_epip_low,mu_epip_high,mu_fila_med,mu_fila_low,mu_fila_high,fila_prodgCd_med,fila_prodgCd_low,fila_prodgCd_high,epip_prodgCd_med,epip_prodgCd_low,epip_prodgCd_high,epil_prodgCd_med,epil_prodgCd_low,epil_prodgCd_high,fila_turn_med,fila_turn_high,fila_turn_low,epip_turn_med,epip_turn_high,epip_turn_low,epil_turn_med,epil_turn_high,epil_turn_low
PL,2021-08-26,238,2021,0.653019161563199,4.561536341182029,4.561536341182029,4.520955749039183,5.441723387759208,3.5891110091998555,3.884603730039709,36.49066257403577,26.396865999175503,47.75521515428458,9.393664092904208,6.79525321850671,12.293458605569638,0,0,0,0.01030782739897415,0,NA,Inf,7.785886323316555,12.0571710704894,3.278103391773203,27.931799600250923,1.5485932583399709,0.4210314992599107,3.5874913195949167,0.2730551872011282,0.4631222438107919,0.1202335265568398,0.5663558623586724,0.03473568604096953,0.03289126853990152,0.036583083263026075,0.00842822284763319,0.003142087313749545,0.01400004202104158,0.0032796150068693628,0.0025450898623229465,0.004084455016509823,0.03954287918316817,0.008343067710048445,0.11408617899739194,0,1.4431001673128184e-4,0,1.2675281985986633,1.7470330122329174,0.8682264081906772,19.581189968068198,1.845234466435832,214.99833420230541,NA,NA,Inf,3.7055049754670266,3.913295630265117,3.5183818850272113
BN,2021-08-26,238,2021,0.6801853317543578,4.148549575649614,4.148549575649614,4.133855234062876,5.073105525907454,3.2156077015717415,1.738918835897781,31.449805629895533,22.464219102796697,42.31177073370619,18.085838729591085,12.918497769448058,24.332228658539535,0.34046704970981834,0.28206547954490035,0.04551538468444086,0.9487977774207522,0.8284663076362487,0.13368513846856497,2.7867536028212334,3.5497945625411083,57.88780983439755,22.179064920899233,119.51645827511771,16.307369008126138,6.247985490468053,33.66855635430414,0.6350293339640214,0.8001980166409911,0.39738951491618585,0.5763377271798957,0.03534789286282428,0.03347096801541596,0.037227849947976226,0.008576767935164997,0.003197465730230853,0.014246788874448357,0.003337417310756337,0.0025899463644835697,0.0041564424020969935,0.19319577862308931,0.057442588559528045,0.4967632749231554,0.0024192101605776395,0.0135173216194593,1.4553388272677383e-4,1.1116843599621953,1.575176251907586,0.7518991590810045,42.20425809598203,6.288695044369531,293.0626665563064,171.22660964652079,459.29214545710374,103.0808351415369,8.13443068057831,8.590578678953083,7.723652711584647
GR,2021-08-27,239,2021,0.6572077416815643,4.8100371023945945,4.8100371023945945,4.794085495035604,5.7297566451084005,3.850728234555426,2.6796505963569306,47.48302765847439,35.69784425909371,60.62396953971851,17.719857851254588,13.321827968029137,22.623833727478765,0,0,0,0,0,NA,NA,4.448737377541212,0.8935965215421153,0,4.651107895705351,0.20086519965267094,0,1.0454894278960536,0.05640274682713517,0.127283025943297,0.02042088422834979,0.5679254623085749,0.034831952601789916,0.0329824234777836,0.036684469704790425,0.008451580843971955,0.0031507953018150544,0.01403884176995447,0.0032887041395024096,0.0025521433302675748,0.004095774684611418,0.0029387745794405085,0,0.01904988997462626,0,0,0,1.6539265687894595,2.223958173963941,1.177401416597395,34.17499270919108,0,Inf,NA,NA,NA,5.356905858348987,5.657300806775083,5.0863892118875755
DL,2021-08-27,239,2021,0.5859467739056841,3.4392208949248673,3.4392208949248673,3.4165608513633097,4.342850818496537,2.4660090868301827,2.6585693488709468,30.4862617566755,21.54576869897135,40.86220287848739,11.467168148020116,8.104271836324866,15.369996985725022,0,0,0,0.05639833876823827,0,NA,Inf,2.9738653069104224,0,0,2.245951697587483,0,0,0.7552297988643017,0.05503597837373311,0.12553267252035846,0.01945869366330438,0.5395722773762522,0.033092997652212665,0.03133580466167975,0.03485302944948633,0.008029643018424326,0.0029934945857789832,0.01333796480042909,0.003124518444647363,0.0024247297934229216,0.0038912966944859876,0,0,0.008739664416797367,0,7.522390572934374e-4,0,1.008881788738403,1.4241715602948062,0.6751539992367,NA,0,Inf,NA,NA,Inf,5.683107910174343,6.001795031568506,5.396118492403894
BM,2021-08-27,239,2021,0.605237997406268,2.84937363997542,2.84937363997542,2.8579942248486345,3.805905844028237,1.9139376694237011,2.191779137939149,23.92736459425689,16.48753351929909,32.48736109245768,10.91686848372639,7.522442947787945,14.82236988668684,1.1256613094171006,6.3639780508953,2.623324479169675,13.660436761049832,5.653546051245866,2.3304740575369927,12.135476849713875,3.0217782547821734,39.373342661575926,13.983888813315914,83.15924756438177,13.029858362129943,4.6277018478061525,27.51997021382244,0.537481088258249,0.7264928760882882,0.29720983573834286,0.5476087492708523,0.0335858898127093,0.03180252492144332,0.03537213579233714,0.008149237747706982,0.0030380801512610196,0.013536622484939942,0.003171055499491377,0.002460844089234407,0.0039492542616739335,0.12485505478034879,0.03441217013075962,0.32841701284123237,0.05186157015793468,0.18491617541372732,0.00796987003048254,0.8036218307712338,1.1491473480971033,0.5243451956406415,52.179939310637906,7.045466079498349,399.85810411333915,54.506121141618465,146.20527365086107,32.813454049009586,6.792292136495035,7.173178099397929,6.449290385271961
GC,2021-08-27,239,2021,0.6809236876370233,5.1191083992681286,5.1191083992681286,5.063694943041758,6.011499184312289,4.121760858060783,2.8022954233209396,34.013231000930006,23.899590933746293,45.81635229401589,12.137632141803829,8.528576514400257,16.34957967412298,2.0794479487619473,8.715757563416487,3.780669957709751,17.918302972430848,4.191380490483369,1.8181123311889917,8.616855729954178,2.070437590145374,100.32759869831337,39.23293528352919,199.5562866837656,48.45719531747342,18.94910306413751,96.38362809562105,0.6772200366883294,0.8201239714325412,0.4423489254683487,0.5766026160416189,0.035364139002306706,0.03348635150707416,0.037244960128920604,0.00858070987786364,0.003198935307906817,0.014253336798539025,0.003338951211160302,0.0025911367219980243,0.004158352732177408,0.3349889571865381,0.10165789932492444,0.8298254299546148,0.07478738701747258,0.2553956071243198,0.012094118615260297,1.2028486290344564,1.7064282144432021,0.800310102882711,72.32655626091297,11.417523722533957,474.0587240916444,28.021974410632485,75.16514386153395,16.869624006022395,5.045369736816709,5.32829492198111,4.790585251620959
PL,2021-08-27,239,2021,0.6314254189988583,4.124347787908852,4.124347787908852,4.104656263340329,5.047082084760347,3.1565482464000056,3.884603730039709,35.251185071637416,25.602653133083496,46.218425607106155,9.074589719162184,6.5908017682982,11.89784822830145,0,0,0,0.00875729368042801,0,NA,Inf,7.785886323316555,11.872752294560945,3.169494781970189,27.336388113097172,1.524906966468977,0.40708207779484745,3.51101813948045,0.27621566822016885,0.4667257149096701,0.12079536173896624,0.5580795767851627,0.03422808564981339,0.03241062103644401,0.03604848644083844,0.008305059331900011,0.0030961712852702206,0.013795456258788278,0.0032316892552845243,0.0025078978918485783,0.004024767956879139,0.038369046020987285,0.007948769281928105,0.11002261893440529,0,1.2081086191370762e-4,0,1.2065805818894286,1.6661042888146664,0.8297978882238951,19.871577803040452,1.8499926730409268,220.85294055917007,NA,NA,Inf,3.760457384848657,3.9713295621932683,3.570559270562246
BN,2021-08-27,239,2021,0.6087036120084336,4.884537858128256,4.884537858128256,4.8546979432975945,5.7937359035538885,3.916600611007924,1.7161871927538084,35.386573852151606,25.43050027666353,47.1679446236406,20.61929724307639,14.818022406901624,27.484149061824965,0.3278571589798251,0.23268144770560428,0.02484970614955366,0.8162163960455991,0.7097037271646781,0.0757943069685503,2.489548797974625,3.5426385747399083,61.350806938010095,21.862719118595045,129.1403249710743,17.317828404923954,6.171309507688108,36.45314706724083,0.6241033341954376,0.7943565264751392,0.3713924147761425,0.549022845614941,0.03367261904057565,0.03188464894572906,0.035463477663651564,0.008170281617662466,0.003045925420425668,0.013571578260195085,0.003179244152420505,0.002467198755105966,0.003959452466178053,0.19504919420394795,0.053939673392629096,0.5113249781897554,0.0019010729549601892,0.011077344696187234,7.569035165103354e-5,1.1915586204746966,1.6727393506008321,0.8108425738356824,44.393488718584585,6.034625503272307,337.9066350837618,186.65873009053988,500.68671445731974,112.37118940749019,8.652237870958464,9.137422531235085,8.215311325088669
GR,2021-08-28,240,2021,0.8295144116912647,6.622183427434192,6.622183427434192,6.569983881049828,7.507338148760802,5.6216827542770504,2.6893762424308294,56.20127275705226,43.88412887855712,69.19937689575791,20.8975121704258,16.317586281230717,25.73064185069587,0,0,0,0,0,NA,NA,4.445305395764949,0.9666235377997884,0,4.962541930038881,0.21744817323927676,0,1.116355680481864,0.05002209156496439,0.11350500110212448,0.01828539577604957,0.623922843104834,0.038266378848134025,0.036234486379773057,0.040301553909850844,0.009284905676647135,0.0034614633314004888,0.015423069843362159,0.0036129699635374128,0.002803784349021505,0.004499617565220366,0.0034923818081189066,0,0.022329540836545526,0,0,0,2.1506191950686753,2.7888424184924743,1.5901188701382833,31.131787013344965,0,Inf,NA,NA,NA,4.858487318057831,5.130932846489543,4.613140147338394
DL,2021-08-28,240,2021,0.7381108300136752,4.310735615851882,4.310735615851882,4.260749308925118,5.190411874281433,3.323684108642732,2.666010266017503,32.86966927982085,23.83084512721046,43.18581260484952,12.329160805866547,8.93876720242682,16.198667032652,0,0,0,0.05612763201069859,0,NA,Inf,2.9738653069104224,0,0,2.2634360240185454,0,0,0.7611091258097533,0.05079504145562705,0.11603957511059398,0.01813944825011197,0.5961589319152653,0.0365635651819457,0.03462208979425707,0.038508177091033664,0.008871737126306624,0.003307431848852567,0.014736759434737363,0.003452196594992261,0.0026790188904055644,0.0042993893096781805,0,0,0.009731392644805818,0,8.271394105831293e-4,0,1.2018322952217277,1.663006919607739,0.8250736598673141,NA,0,Inf,NA,NA,Inf,5.129318314578958,5.416951017357849,4.870294537461351
BM,2021-08-28,240,2021,0.7471894654899439,3.890619630355516,3.890619630355516,3.8758299433031422,4.820437476138821,2.934604723423262,2.192553644159788,25.640590736550575,17.943681971009546,34.60561487093523,11.69439607776454,8.183919248135785,15.783246609775198,1.082366643670289,5.575997963361394,2.1490335495882,11.986355276792947,5.151672029039318,1.9854949911435367,11.074209785463637,3.0992582138297657,42.12057216984487,15.277540619708256,87.66999885228407,13.590533367594535,4.929418449723084,28.28741356918109,0.5493216535143424,0.7330161596971124,0.31160672451460325,0.5990986022291482,0.03674386077324008,0.034792811935827256,0.03869806159829514,0.008915483820126996,0.003323740854221365,0.014809426658046347,0.003469219437903267,0.002692229180281044,0.004320589674958094,0.14612550770723323,0.041130640659307514,0.37878609184476647,0.04971271962340959,0.17751104936895196,0.007142830605858656,0.9421342961674436,1.3391702159223298,0.6243111522536293,46.50294661361783,6.50686304995492,343.8727566085199,51.8144256446333,138.98516573492617,31.193015378006663,6.206331796505431,6.554359327551328,5.892920265891952
GC,2021-08-28,240,2021,0.829878131857371,5.689610769250406,5.689610769250406,5.640916744164595,6.557357271421513,4.7083979522291335,2.7924460345893816,34.483042987040925,24.280424781129,45.834274664687605,12.348687337161566,8.695038142321465,16.41366533030507,2.070673839285491,8.821763730763527,3.883303802008996,18.10641059376189,4.260334758373909,1.8753816889621655,8.74421178760326,2.0911545323687677,99.93931558608617,39.46316739509775,200.1118575318634,47.791453973934345,18.871473525390595,95.69443789751182,0.6735762273457865,0.8233353488373245,0.4317254061555005,0.6240256997822227,0.038272687244480644,0.03624045980888708,0.04030819781458134,0.009286436337943352,0.003462033970256086,0.015425612410502875,0.0036135655789890047,0.0028042465663380236,0.004500359348787666,0.3611372707896003,0.1106644516645255,0.900575268846787,0.08192274727411313,0.27930247196479413,0.013444129679379758,1.3197587194809988,1.8474970098720815,0.8799337584232113,66.16798907163725,10.477454899220179,432.3630418718622,26.00214775585375,69.747232944300407,15.653659858594919,4.678388236759574,4.940734492277267,4.442135830964492
PL,2021-08-28,240,2021,0.8196619956373423,5.168167884402376,5.168167884402376,5.125943369854056,6.058621303314091,4.195072729566097,3.884603730039709,38.4516345622822,28.486805607912984,49.35004978095544,9.89847027765922,7.333259088339955,12.704011325358783,0,0,0,0.00518096211245788,0,NA,Inf,7.785886323316555,11.87275576523879,3.276221541090005,28.212245341265763,1.5249074122342632,0.42078979900832053,3.6235110775735277,0.25837430215303414,0.45084304982155055,0.11233625491421224,0.6211151024633996,0.03809417475546486,0.036071426089299134,0.04012019124285415,0.009243122293800504,0.0034458862590399965,0.015353663857520392,0.0035967110900003824,0.002791166924681998,0.004479368652637022,0.04270287232970033,0.009144481203421104,0.12637304740217073,0,7.954675073322704e-5,0,1.4647832866488508,1.979933435056305,1.0275597030060653,17.854857636516325,1.6648716148673508,198.125568688244,NA,NA,Inf,3.378817319900291,3.5682885709156063,3.2081915231148943
BN,2021-08-28,240,2021,0.7399428877576884,5.776477125722883,5.776477125722883,5.734121046761688,6.662619167461138,4.799179180800027,1.6934555496098358,38.0389547153796,27.75798520312829,49.4945247746138,22.46232841726705,16.39132790318801,29.22694061029066,0.3152472682498318,0.18419044721525937,0.01068008226474101,0.6757927089059009,0.5842729367262571,0.03387842922171526,2.143690927625545,3.5354825869387088,64.63706768829489,24.43337656332101,134.80944485429302,18.282388923958074,6.910902815244041,38.13042252062719,0.623493927791385,0.7927045236505456,0.37882206916490546,0.5967556208139557,0.03660016125100151,0.03465674266201388,0.03854671950069816,0.0088806167501317,0.003310742220905612,0.014751509294693549,0.0034556518604828093,0.00268170029086056,0.004303692521011426,0.22336320321320952,0.06552299303656353,0.5801783995811232,0.0016357247707540813,0.00996896242671153,3.53589992766233e-5,1.392231876402438,1.907851563307394,0.962001350000806,40.92524789436058,5.955842909899412,290.9697859753554,178.59756946057098,479.0637449419153,107.51825695929953,8.067021305140013,8.519389241592165,7.659647420269876
GR,2021-08-29,241,2021,0.8844729594654502,6.896281752562306,6.896281752562306,6.853374956990368,7.777560370065776,5.927236438036139,2.699101888504728,57.189944982122384,45.50485287122898,69.66099021324742,21.188509120641225,16.859257171813603,25.80895167756665,0,0,0,0,0,NA,NA,4.441873413988685,1.1428833230392548,0,5.120336643799504,0.2572975896701603,0,1.1527425855212692,0.0516184667739574,0.1131601161097098,0.01847099241970728,0.6388517402369117,0.039181996604005995,0.03710148608298221,0.041265868262550305,0.00950707000875898,0.00354428740263305,0.015792104934314447,0.003699419205656079,0.002870871824002828,0.004607282044101416,0.00422800451507546,0,0.023590835078731966,0,0,0,2.240816230072809,2.8746212451786737,1.6882976655100548,30.42778085415173,0,Inf,NA,NA,NA,4.727855153020014,4.992975325450154,4.489104733511159
DL,2021-08-29,241,2021,0.7851084945097527,4.527407034852204,4.527407034852204,4.470775704656802,5.4139161087428915,3.5529082300477812,2.673451183164059,33.608537897991205,24.48217958423612,44.07132761102521,12.571218098029801,9.157518842465338,16.48480731144913,0,0,0,0.05619606399941784,0,NA,Inf,2.9738653069104224,0,0,2.33848598768806,0,0,0.786345629795028,0.04995243700079606,0.11656975917455442,0.01792868919754577,0.6109277915941707,0.037469367535351385,0.03547979527946906,0.03946215401480598,0.00909151986160108,0.003389368047839499,0.01510183847752583,0.0035377191031120965,0.0027453871891114545,0.004405899627682857,0,0,0.0103031345424964,0,8.486638815919126e-4,0,1.2592906588256183,1.7391495178232481,0.8686227196438947,NA,0,Inf,NA,NA,Inf,4.991388608311203,5.271286736674125,4.739330098565023
BM,2021-08-29,241,2021,0.811792224112198,4.012004117303671,4.012004117303671,3.994204989156114,4.919480983883789,3.0755745138847117,2.193328150380427,25.945451863349,18.285919736096332,34.90498287274162,11.82926132546506,8.337065173273178,15.914163535760686,1.0390719779234776,4.61351850005821,1.832388783007432,10.25010865049371,4.4400374546506844,1.763485900822145,9.864676238289027,3.1767381728773576,41.12835903233553,15.096819010680855,86.53615140404112,12.946726105250018,4.75230194907967,27.2405677442596,0.5520952089218525,0.7327957060348141,0.3127211648961833,0.6188420766570767,0.03795476574424242,0.03593941950622514,0.03997336784460167,0.009209296267961686,0.0034332757326474054,0.01529747576286396,0.0035835486067617136,0.002780952401762824,0.004462976005761916,0.14738547370872151,0.04198353508673158,0.3862087673472158,0.042487258704758266,0.15680078864764974,0.006291095941474728,0.9847535476019293,1.395269719981622,0.6571853404527277,43.92130981251478,6.152503970484927,324.4196527041463,52.25139947842096,140.15728874806805,31.4560797919714,6.006203965586955,6.343009087459153,5.702898625210007
