site,date,epil_gm2,fila_gm2,epil_chla_mgm2,fila_chla_mgm2,epil_gm2_se,fila_gm2_se,epil_chla_mgm2_se,fila_chla_mgm2_se,epilg,epilgse,filag,filagse,epilc,epilcse,filac,filacse,year,GPP,ER,ARf,NPP,GPP.se,ER.se,ARf.se,NPP.se,PAR_bc_Jm2,light,epilcl,epilcsel,filacl,filacsel,epil_chla_mgm2_l,epil_chla_mgm2_sel
BN,2020-09-21,12.503742265160474,4.125638437331087e-5,54.48072988509512,6.824380966795844e-4,3.066419028140991,4.8100188424292416e-4,13.101792127942472,0.00552984141432106,2.5260279807154804,0.24524010197211438,4.125553335202582e-5,4.8098204066297795e-4,3.997847059055022,0.24048488622629247,6.822053416896668e-4,0.005526070213482452,2020,7.002250939494234,-8.498732378904604,0.3571788751978846,4.501194825072353,0.3470532739746667,0.5081262386305313,0.03281582364650753,0.3486012812055253,46.592756688120765,0.668442324883108,2.6723301826818346,0.16075027644835263,4.560149246467159e-4,0.0036938592209675033,36.4172257457216,8.757792390137068
BN,2020-09-22,12.276374904025056,5.0553059251672106e-5,53.68187866575581,7.975829666767983e-4,3.0059553978506925,5.793686091023002e-4,12.89131576639716,0.00634644473256217,2.50767667588265,0.24485692407985435,5.055178148877554e-5,5.793393217272422e-4,3.983075489550205,0.2401427835017379,7.972650664058328e-4,0.006341386950345468,2020,5.810589655066836,-7.691133958349969,0.3571788751978846,3.735169777833599,0.3401367296204926,0.5434795674501832,0.03281582364650753,0.34171607091051887,43.387193868248055,0.6224537632228172,2.47928032767109,0.14947777930145903,4.962606408703998e-4,0.003947220171294601,33.41448739237037,8.024248011687547
BN,2020-09-24,11.78967219525658,8.100073474488194e-5,51.87310506252612,0.00113812080285533,2.8654868508198317,8.907906975857715e-4,12.351921490877949,0.00867377422542059,2.4672239105373555,0.24305059575555651,8.099745436255576e-5,8.907185487288735e-4,3.9488004489685062,0.23811802813788285,0.0011374736343651496,0.008663913645066997,2020,4.887599933195673,-7.684204677819509,0.3571788751978846,3.141852486639587,0.3127648736919778,0.5114060599853482,0.03281582364650753,0.31448170773060474,34.08236026716649,0.4889620995594993,1.9308137582691343,0.11643069098126714,5.561814964527578e-4,0.004236325406294154,25.363982362043267,6.039621465773783
BN,2020-09-25,11.533241401179776,1.0580496092854284e-4,50.86715985470976,0.00138852395404602,2.7871448522057745,0.00113569540496937,12.028337988427088,0.01031999125200076,2.445233422367827,0.24166188456964643,1.0579936397850961e-4,0.001135575255473833,3.9292175258372706,0.23646568872300408,0.0013875608460898433,0.010305681566283203,2020,4.032562352067131,-7.129244358462539,0.3571788751978846,2.5922162669904574,0.30274879624089235,0.5403005350223479,0.03281582364650753,0.3045221041351646,25.331030718535494,0.36341127395667355,1.4279219467174114,0.08593429718586913,5.042552547699098e-4,0.0037452008669947856,18.485699365357835,4.37123363195574
BN,2020-09-26,11.269958233891115,1.4102902411687018e-4,49.79680110847489,0.00171712057505572,2.704202146208433,0.00147377903780834,11.671982100603165,0.01241546257610224,2.42214062209017,0.23994784098456842,1.4101908045889797e-4,0.0014735712214970055,3.9079507471978854,0.23439220674391306,0.0017156480089957054,0.01239418027414256,2020,4.213271663427757,-7.647889569353389,0.3571788751978846,2.7083800297815106,0.3265944849091888,0.542730670168768,0.03281582364650753,0.32823899197794437,35.23927852254382,0.5055598109484307,1.9757028409491415,0.11849927972923818,8.673626830819203e-4,0.006265999436256282,25.17526135423717,5.900885064174403
BN,2020-09-27,11.001159691721956,1.9171770012547487e-4,48.664966192068555,0.00215160620378736,2.6171309573262764,0.00194535997849948,11.28517465600613,0.01509517925601888,2.3980006937615634,0.23789591558202627,1.9169932463567846e-4,0.0019449870900478026,3.8849593911709013,0.23189525317795032,0.002149294814032556,0.0150627701064117,2020,4.78349644053135,-7.440718015006903,0.3571788751978846,3.0749325623892774,0.3353961004185296,0.5577886899727158,0.03281582364650753,0.3369976594244462,46.859719429388385,0.6722723020751549,2.611750593370954,0.15589675569424152,0.0014449113724678583,0.010126283135066218,32.71610885235151,7.586710345313436
BN,2020-09-28,10.72812439256634,2.656641418785159e-4,47.47495210539847,0.00273068270579268,2.526419408082531,0.00261015754289017,10.870532593470116,0.01853845910469625,2.372868741043245,0.23549497709339767,2.656288594091429e-4,0.0026094643017956706,3.8602022478594726,0.22897406129734688,0.0027269611651312108,0.018487974312974668,2020,5.508650697372735,-7.882925463091373,0.3571788751978846,3.541077037427099,0.358235887459816,0.5600990758691525,0.03281582364650753,0.35973577712777005,48.58044101955543,0.6969586100329983,2.690401193114394,0.15958544349540943,0.0019005790632638142,0.012885352879496602,33.088076630761684,7.576311286663336
BN,2020-09-29,10.452133990271207,3.750360100211581e-4,46.23042540913582,0.00350875338479954,2.4328347772316192,0.00355723831896896,10.431749153150982,0.02298396075802336,2.3468061671582094,0.2327596239673247,3.7496570159504015e-4,0.0035559047266482623,3.833638139972414,0.2256468345430694,0.0035026120710195774,0.022903597682132095,2020,5.755755258265685,-8.412126236954084,0.3571788751978846,3.699921069204038,0.3318349170346895,0.5403895432632687,0.03281582364650753,0.3334535806450696,49.242491121633115,0.7064567024593418,2.708299358787276,0.15940971865168552,0.0024744437736867763,0.016180400092974462,32.65979388783066,7.3695791076180734
BN,2020-09-30,10.174703531097318,5.389754632556994e-4,44.9355587535347,0.00456257656075391,2.337973777947339,0.00491990257484267,9.975328882348682,0.02874951838513816,2.319904593911276,0.2297829878582412,5.388302681493812e-4,0.004917252296508215,3.8052294357394847,0.22199187367541096,0.004552199560251843,0.028618942269943742,2020,5.825257679422525,-8.447517923581023,0.3571788751978846,3.7445986937485483,0.3387885948601023,0.5603517528414605,0.03281582364650753,0.34037419157286475,48.69437425966105,0.6985931516508607,2.658307224267873,0.15508200267178507,0.003180135437739997,0.019992997077274036,31.391673610824228,6.968696442673823
BN,2020-10-01,9.897490835036711,7.878555972886531e-4,43.595143202004046,0.00600097477814095,2.2439711982247204,0.00689849981551455,9.509777453612708,0.03625838328180959,2.292281274010017,0.22672122011784587,7.87545401982957e-4,0.006893069072463312,3.7749457497007177,0.2181384611938962,0.005983040641432767,0.0360420955753108,2020,5.354185632268866,-8.092100496091453,0.3571788751978846,3.4417836305343976,0.329624119333626,0.5463977756708593,0.03281582364650753,0.33125358613616124,45.77649004211976,0.6567317669903924,2.479126792493824,0.1432584570684326,0.0039292528524234715,0.023669989113210464,28.630315427251308,6.245372950796468
