site,date,GPP,ER,NEP
GC,2020-09-23,7.444524481527203,-8.029549012162281,-0.5850245306350779
GC,2020-09-24,4.382856081050156,-6.689812949778951,-2.306956868728795
GC,2020-09-25,5.227905820716335,-6.88560080673193,-1.6576949860155956
GC,2020-09-26,6.51375800771557,-7.3515749711918446,-0.8378169634762749
GC,2020-09-27,6.543354874618841,-7.622032196407371,-1.07867732178853
GC,2020-09-28,6.9922117169847695,-7.594943520931918,-0.6027318039471483
GC,2020-09-29,7.437860308584766,-8.307393638715507,-0.8695333301307402
GC,2020-09-30,7.492608776533653,-8.432765755040615,-0.9401569785069617
GC,2021-07-01,8.458433733752697,-8.956287440830458,-0.4978537070777609
GC,2021-07-02,8.83107698116234,-8.331527859875354,0.4995491212869858
GC,2021-07-03,9.523816061797092,-8.591692227554612,0.9321238342424802
GC,2021-07-04,9.534675137050275,-8.98907642385528,0.5455987131949946
GC,2021-07-05,10.175326651375364,-8.323251074023673,1.852075577351691
GC,2021-07-06,10.448407628036328,-8.413934773913477,2.0344728541228516
GC,2021-07-07,7.801702226418671,-7.289369881007288,0.5123323454113828
GC,2021-07-08,11.407206637503904,-8.495229871864225,2.911976765639679
GC,2021-07-09,12.533258941421732,-9.41137001956991,3.1218889218518218
GC,2021-07-10,12.514190762263178,-8.31380829536746,4.200382466895718
GC,2021-07-11,10.000750282700029,-8.642569530752528,1.3581807519475007
GC,2021-07-12,12.217207217018748,-9.551046278671263,2.6661609383474847
GC,2021-07-13,14.79815136291175,-10.704656200619093,4.0934951622926565
GC,2021-07-14,9.972817947018925,-7.994336116531039,1.978481830487886
GC,2021-07-15,11.86415938214778,-9.217780810135338,2.646378572012443
GC,2021-07-16,11.639047004012642,-9.501696142862636,2.137350861150006
GC,2021-07-17,11.857870066431945,-9.877919948233991,1.9799501181979533
GC,2021-07-18,13.991350253957243,-10.490275294232148,3.501074959725095
GC,2021-07-19,9.888716967835531,-8.047826563380937,1.8408904044545942
GC,2021-07-20,9.585563573452362,-8.569829687650218,1.0157338858021436
GC,2021-07-21,9.861365264947317,-9.105812653378903,0.7555526115684135
GC,2021-07-22,11.333629887763784,-8.839306463752072,2.4943234240117125
GC,2021-07-23,10.20921803650216,-7.967363827062811,2.2418542094393485
GC,2021-07-24,10.858573028499302,-8.661658878362267,2.196914150137035
GC,2021-07-25,11.746035363208362,-8.548888882560785,3.197146480647577
GC,2021-07-26,11.901989948703562,-9.935343492725517,1.9666464559780454
GC,2021-07-27,11.60401397842456,-9.839187656087358,1.7648263223372016
GC,2021-07-28,11.335989163283084,-9.375552667665222,1.9604364956178628
GC,2021-07-29,13.58633763104632,-11.008193516350271,2.578144114696048
GC,2021-07-30,15.35131367156303,-11.55540185400571,3.79591181755732
GC,2021-07-31,16.587465589495476,-10.80989597654728,5.777569612948197
GC,2021-08-01,14.26450424907185,-10.977066357925471,3.2874378911463786
GC,2021-08-02,14.467239044232253,-11.386158718995596,3.081080325236657
GC,2021-08-03,18.176845586526458,-11.010454630444684,7.166390956081774
GC,2021-08-04,12.558736479771644,-6.818549087808637,5.7401873919630075
GC,2021-08-05,9.32919348500239,-8.918042976641832,0.4111505083605582
GC,2021-08-06,10.265694139268351,-8.067960978773305,2.197733160495046
GC,2021-08-07,9.549587643870735,-8.047365718205159,1.5022219256655767
GC,2021-08-08,4.652674483344937,-5.45521122408823,-0.8025367407432933
GC,2021-08-09,9.486916820405373,-7.337104026709048,2.1498127936963245
GC,2021-08-10,9.25776715345972,-7.279060711455899,1.9787064420038218
GC,2021-08-11,10.982174845161282,-8.374186065381885,2.6079887797793972
GC,2021-08-12,11.423108359690444,-8.19544735292921,3.2276610067612346
GC,2021-08-13,10.848804736996922,-8.072083327160389,2.776721409836533
GC,2021-08-14,10.97514573105454,-7.978951147730081,2.99619458332446
GC,2021-08-15,10.952982166341302,-8.23915860353834,2.713823562802961
GC,2021-08-16,11.718795500972554,-8.198885581539539,3.5199099194330152
GC,2021-08-17,10.009260631042093,-9.455674195401008,0.5535864356410851
GC,2021-08-18,6.748191206691425,-7.330296877043174,-0.5821056703517486
GC,2021-08-19,11.8185715393066,-8.14317450272327,3.6753970365833304
GC,2021-08-20,11.127004265700943,-7.432100429894954,3.69490383580599
GC,2021-08-21,7.951248027790462,-8.368657025225113,-0.4174089974346513
