site,date,DO.obs,DO.sat,depth,discharge,temp.water,light
DL,2021-09-12,9.09668287037037,8.647492899727137,0.5422545907120613,3.823279524214104,14.422189814814814,572.6136381304588
DL,2021-09-13,8.893958333333334,8.744010934145518,0.551934242580773,4.021523647691872,13.866497685185186,566.7882812412387
DL,2021-09-14,9.259074074074075,8.805453698075173,0.5599870951443546,4.1914471821013874,13.566824074074074,560.9177806627505
DL,2021-09-15,8.70995138888889,8.799435448573014,0.5573267879836306,4.134806003964882,13.256069444444444,555.0039337796568
DL,2021-09-16,8.911078703703703,8.924684735562613,0.5586598824049942,4.163126593033135,12.8020625,549.1003314995398
DL,2021-09-17,9.33517824074074,9.303223043567982,0.5586598824049942,4.163126593033135,10.9771875,543.205402677965
DL,2021-09-18,8.996421296296296,9.10973568045333,0.5652384206327902,4.3047295383743975,11.503256944444445,537.2729038360235
DL,2021-09-19,8.978967592592593,9.217079178945474,0.5729495714038407,4.474653072783914,11.229439814814814,531.357553333906
DL,2021-09-20,9.278784722222222,9.49035016954309,0.586606356983961,4.786179552534692,10.445460648148147,525.420098597989
DL,2021-09-21,9.806594907407407,9.584627396880455,0.5914289165694264,4.8994619088077025,10.340326388888888,519.5176310753566
DL,2021-09-22,9.385456018518518,9.257460235820494,0.5742161618623441,4.502973661852166,11.469516203703703,513.6192307968986
DL,2021-09-23,9.225013888888888,9.218728278531412,0.5665371836066336,4.33305012744265,11.751222222222223,507.6933297056486
DL,2021-09-24,9.261881944444445,9.18384598166334,0.5586598824049942,4.163126593033135,11.937435185185185,501.74200513979287
DL,2021-09-25,8.943331018518519,8.953346430372664,0.5678304406120237,4.361370716510903,12.721490740740741,495.76737061246337
DL,2021-09-26,8.842650462962963,8.834002659717003,0.561308491631731,4.21976777116964,13.160013888888889,489.86998284294316
DL,2021-09-27,8.857465277777777,8.871880099778972,0.5573267879836306,4.134806003964882,12.854046296296296,484.0194388928516
DL,2021-09-28,8.7785625,9.478238845416021,0.5639340917929161,4.276408949306146,10.069546296296297,478.1518851765385
DL,2021-09-29,9.711516203703704,9.832137012789897,0.5691182505179854,4.389691305579156,8.96030324074074,472.26950643302456
DL,2021-09-30,9.610460648148148,9.75606135408649,0.5729495714038407,4.474653072783914,9.402282407407407,466.3745150095718
DL,2021-10-01,9.430050925925926,9.699384415614663,0.5754775849596001,4.531294250920419,9.58931712962963,460.5535746982663
DL,2021-10-02,9.487541666666667,9.601636847108525,0.5792313775456789,4.616256018125177,10.014476851851851,454.736990635617
DL,2021-10-03,9.25761111111111,9.43593317528736,0.5853891478350921,4.75785896346644,10.62061574074074,448.91400066474773
DL,2021-10-04,9.123435185185185,9.33556721480743,0.5902301290843703,4.871141319739451,10.941881944444445,443.147539523028
DL,2021-10-05,8.967787037037038,9.213475982017231,0.5949984744093841,4.984423676012461,11.35731712962963,437.38482311233383
DL,2021-10-06,8.749164351851851,9.178663681169569,0.5890268026928702,4.842820730671198,11.463951388888889,431.7023546673124
DL,2021-10-07,8.979925925925926,9.584885488717232,0.5890268026928702,4.842820730671198,9.792840277777778,426.03674365287947
DL,2021-10-08,9.165740740740741,9.68532648881149,0.5961795318621754,5.0127442650807135,9.218868055555555,420.37544252734205
DL,2021-10-09,9.153620370370371,9.604425151625538,0.6200393253454715,5.607476635514018,9.662097222222222,414.7207241575928
DL,2021-10-10,9.356935185185185,9.784560673262652,0.6200393253454715,5.607476635514018,8.790537037037037,409.0748699245081
DL,2021-10-11,9.618150462962962,10.336991576090803,0.6189414921832214,5.579156046445766,6.643504629629629,403.54800684397264
DL,2021-10-12,10.498791666666667,11.002244853009723,0.6265517928724638,5.777400169923534,4.239331018518518,398.08369718706626
DL,2021-10-13,10.397789351851852,10.847452258846031,0.643330818711431,6.230529595015576,4.623050925925926,392.6341702660234
DL,2021-10-14,10.069618055555555,10.873250203408256,0.6563885411894809,6.59869725290286,4.736416666666667,387.2016679292446
DL,2021-10-15,10.38443287037037,10.77561318634982,0.6544110310881612,6.5420560747663545,5.280868055555556,381.7884308689946
DL,2021-10-16,9.994074074074074,10.263134107329664,0.6563885411894809,6.59869725290286,7.192847222222222,376.4221799024222
DL,2021-10-17,9.67444212962963,9.947061512067595,0.650422368386018,6.428773718493344,8.020671296296296,371.139208154429
