site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,light,mean_PAR_umolm2s,light_hrs,q.cms,epil_gm2_fit,fila_gm2_fit,epil_chla_mgm2_fit,fila_chla_mgm2_fit,epil_gm2_se,fila_gm2_se,epil_chla_mgm2_se,fila_chla_mgm2_se,log_q,year
GC,2020-08-23,10.02718191326709,9.792982583948298,10.26138124258588,-12.309865490153369,-12.657411946936753,-11.962319033369988,17.748211788982914,0.7164607506747083,893.438008,14,8.524497309544039,11.923294372848416,66.6298247794482,23.31893785712615,72.6426836306576,2.2517405610280137,21.846841120556636,4.2393528253895765,23.39680921465924,2.1429440548085807,2020
GC,2020-08-24,5.8038207843737615,5.148934012050798,6.458707556696725,-10.373266690129942,-11.34312834451644,-9.403405035743445,17.748211788982914,0.637782646096379,795.3251539999999,14,8.496176720475786,12.101793054983442,64.66907839125241,23.5145952407764,68.89737003849442,2.297619836979341,21.28190894414094,4.294983292364971,22.32751141324291,2.139616264715906,2020
GC,2020-08-25,4.970399548892282,4.585232920410425,5.35556617737414,-8.671963155283542,-9.244018622357176,-8.099907688209909,17.748211788982914,0.624694613377145,779.004168,14,9.062588501840835,12.27815088106654,62.81313727368704,23.738365115445163,65.43710738430786,2.346374288141948,20.797037174294953,4.361316236066407,21.383824682708532,2.204154785853477,2020
GC,2020-08-26,9.046820868851803,8.780952433702055,9.312689304001552,-10.650285057186808,-11.048837650695996,-10.251732463677616,17.748211788982914,0.7121545813321347,888.068146,14,9.175870858113848,12.452161370801315,61.076822569408215,23.990084213188883,62.285729911930495,2.3980020713589334,20.39684801101087,4.438796213688058,20.569003450935455,2.2165773058520344,2020
GC,2020-08-27,8.003211413500527,7.372478009937981,8.633944817063073,-10.139081100320077,-11.079919367859214,-9.198242832780936,17.748211788982914,0.6849642738821543,854.1613980000001,14,9.402435570659868,12.623858676404542,59.47292791427907,24.269636056033637,59.460331702559024,2.4524143552819275,20.083593276957075,4.527667260121065,19.88391930683913,2.2409687589761935,2020
GC,2020-08-28,9.43530418004356,9.185067489675395,9.68554087041172,-9.90897567540912,-10.281700638496966,-9.536250712321277,17.748211788982914,0.7032446057243161,876.957264,14,9.459076748796374,12.793287398829769,58.01283699027655,24.57695725491206,56.97361104413419,2.5093043539483126,19.85638971651146,4.627812632988409,19.32709856885893,2.2469747830364053,2020
GC,2020-08-29,9.308991420492015,9.087695085136792,9.53028775584724,-9.664836327104764,-9.993941842865146,-9.335730811344382,17.748211788982914,0.7148277435391719,891.4016220000001,14,9.119229679977344,12.960502462806744,56.706899882347585,24.91203187839142,54.83565363619972,2.568168534169598,19.712186739999524,4.738766620993739,18.896178729879654,2.2103853356041134,2020
GC,2020-08-30,8.562052470290828,8.366771812348027,8.757333128233629,-8.889761882505137,-9.179054214299535,-8.60046955071074,17.748211788982914,0.7012526905990325,874.473314,14,8.6661002548853,13.125568980148412,55.56482673480231,25.27488599842119,53.05567872009645,2.628362086892062,19.64705037735023,4.859776788023318,18.589444869645867,2.1594188920120856,2020
GC,2020-08-31,5.993400379556771,5.8474416429688505,6.139359116144692,-7.754337101213157,-7.971323121893542,-7.537351080532771,17.748211788982914,0.35912595006480685,447.83579999999995,14,8.637779665817048,13.288562103688252,54.596098683731206,25.665582360452284,51.643772202219665,2.689186862581729,19.65761819637689,4.989915531279092,18.40737566964682,2.1561455666671163,2020
GC,2020-09-01,7.797162744789073,7.595540099029055,7.9987853905490915,-8.758430791699583,-9.061280462026744,-8.455581121372422,17.748211788982914,0.672509779152919,838.630444,14,8.836023789294817,13.449566874216591,53.810399047181626,26.084215129491177,50.612656015613574,2.750010192723239,19.742637786974857,5.128240516719869,18.35422793115686,2.1788369778691874,2020
