date,doy,year,site,epil_gm2_fit,epil_gm2_se,epip_gm2_fit,epip_gm2_se,epi_gm2_fit,epi_gm2_se,fila_gm2_fit,fila_gm2_se,filaepip_gm2_fit,filaepip_gm2_se,epil_chla_mgm2_fit,epil_chla_mgm2_se,epip_chla_mgm2_fit,epip_chla_mgm2_se,epi_chla_mgm2_fit,epi_chla_mgm2_se,fila_chla_mgm2_fit,fila_chla_mgm2_se,filaepip_chla_mgm2_fit,filaepip_chla_mgm2_se
2021-09-27,270,2021,BM,22.662389044805668,3.3163641219767537,0.37771031094452834,2.590083972500176,29.54672726633056,3.9829313638239934,3.0636082150471875,19.375451999985327,3.4168220291642513,20.343653388950486,51.30442678487995,7.447060897699138,-11.926453535866973,5.74523311529546,58.05566697304026,9.146179486305861,17.858939728825654,29.74981245515024,16.25413416747773,31.99888001515718
2021-09-28,271,2021,BM,22.705417060736295,3.3935578631762993,0.05262881361953209,2.666260018756124,29.632823013669448,4.048057974703504,2.1942106234012773,19.937204743532075,2.2016947174091754,20.941348163700134,51.67690977804668,7.6348680264693165,-14.30900549498002,6.49133343767099,58.03800582858523,9.471209243842008,15.538974659298837,30.67916588277138,13.293815028657548,33.11306315120491
2021-09-29,272,2021,BM,22.740304642032253,3.478787242561661,-0.2706930959291718,2.748714708273088,29.72135000861569,4.1190344961739465,1.3298334918669799,20.535591880709696,0.99233967900755,21.578355633607206,52.04026271272556,7.841402314461002,-16.662250589961637,7.173428661633321,57.96989908765404,9.8202805694612465,13.190919032911609,31.671310044553287,10.323113243425311,34.30688453997543
2021-09-30,273,2021,BM,22.76753827307651,3.571923592929837,-0.5920764877126281,2.837362373246555,29.812316223939757,4.195987755105606,0.47062004504194377,21.17009366353401,-0.21091515113396042,22.254090562989525,52.39472153183273,8.066621505482361,-18.970924236526237,7.77567531222261,57.85370879506692,10.191088301514048,10.819454012696283,32.72356498449915,7.3537213704379525,35.57511543935865
2021-10-01,274,2021,BM,22.78787310363225,3.6731348077777737,-0.9115314277666178,2.9322120479092395,29.905631742126634,4.279156910610724,-0.38356883950045173,21.840671422683773,-1.408170875364796,22.96848001222345,52.7407342511799,8.310805702246306,-21.23057193660178,8.295194974274356,57.694204799305325,10.584979286198399,8.426349874965332,33.835369610407405,4.388295052155669,36.91699267115061
2021-10-02,275,2021,BM,22.802288630600607,3.7827541675902707,-1.229252862869254,3.033312922686285,30.001111223410142,4.368839237128482,-1.2331489015052863,22.54749167160643,-2.599949405113204,23.72166678183175,53.078932639504856,8.574374047830435,-23.447901546888716,8.73669322923163,57.49802377087606,11.005234599895244,6.0103139611749015,35.007286101397206,1.420157055218894,38.33408071287469
2021-10-03,276,2021,BM,22.811806265760964,3.9009656529277192,-1.5454724415949124,3.1406372929119297,30.09855040810948,4.46525497199746,-2.0785908222008747,23.2903407479541,-3.7868562650780007,24.513384564687158,53.409983328132675,8.857473527371068,-25.631876879608186,9.10322707042912,57.272139679249804,11.453754198433877,3.5694308892686024,36.23886477775342,-1.5592561595350887,39.82597776046818
2021-10-04,277,2021,BM,22.81744742089254,4.027704324717716,-1.860421812518056,3.254048365082018,30.19774503654381,4.568501668196023,-2.9203652828157054,24.06845712270431,-4.969496979958215,25.342780059960706,53.73455294838838,9.159860477904394,-27.791461746985647,9.39394789568734,57.023526493895886,11.92996078457159,1.1017852771884336,37.52798797399418,-4.558508131272056,41.38899097831364
2021-10-05,278,2021,BM,22.820233507774677,4.162657478904758,-2.17433262421309,3.373305489439751,30.29849084903233,4.678549629186382,-3.758942964578118,24.880548235134963,-6.1484770744527015,26.208432565344303,54.05330813159705,9.480914286653691,-29.935619961244186,9.60429093797606,56.759158184284374,12.430764354708344,-1.3945382571227398,38.870899875322436,-7.586162399156095,43.01619801402426
2021-10-06,279,2021,BM,22.8211859381867,4.305309353240513,-2.4874365252543655,3.498084542417237,30.400583585894275,4.795255260322703,-4.594794548716422,25.724883846206655,-7.324402073260213,27.10845549919931,54.36691550908375,9.819706101463218,-32.073315334605994,9.726837309194005,56.48600871988552,12.951002280100433,-3.9214550957213135,40.262533585118085,-10.650782502350133,44.69811125869079
2021-10-07,280,2021,BM,22.821273360337997,4.455063903349044,-2.7999636566317285,3.6280283831869538,30.503820888732818,4.918409121995371,-5.428388765622026,26.59954768636076,-8.497876139340079,28.04076772456782,54.676024985119774,10.175172315780046,-34.21367634232,9.75415719426853,56.21064121455767,13.484545233963786,-6.480857889044287,41.69741699816766,-13.7608742561982,46.42441433258687
2021-10-08,281,2021,BM,22.82125336815846,4.611475461407506,-3.1121381289964676,3.7628399020900574,30.60800800428739,5.0478338701339505,-6.26018654233788,27.50291907442777,-9.669497988692473,29.00361145315912,54.98121955576159,10.546433751491747,-36.366490111744724,9.684984614297555,55.9379753597091,14.026298987930348,-9.074548361045117,43.171422515403165,-16.924712580761295,48.187246273000575
2021-10-09,282,2021,BM,22.821756270788597,4.774245504361326,-3.4241665527588285,3.902276287061247,30.712962048779424,5.1833835375932695,-7.090621872305942,28.433643485664913,-10.839829657994791,29.99551935839656,55.283037733269445,10.932780661485774,-38.54089452668935,9.524222869237702,55.671999167145046,14.572536904148972,-11.703959428594437,44.68170488897127,-20.149540708691923,49.98125706230914
2021-10-10,283,2021,BM,22.823114292490285,4.94339539145856,-3.7361915677038287,4.0462202145733714,30.818540011221927,5.325022505663849,-7.920028817912666,29.3910150691021,-12.0092919135926,31.0157255079383,55.581907002933626,11.333914056341113,-40.742771844705494,9.289302814772464,55.41461735269159,15.122609900163413,-14.36913970672233,46.22807879315632,-23.438706018311066,51.80625068430298
2021-10-11,284,2021,BM,22.825585136305904,5.119087370155211,-4.048339820960047,4.194602879711757,30.92460884882587,5.472752741879643,-8.748716458780374,30.374576470265982,-13.178270204248172,32.063732845384855,55.87822709330205,11.74968968877982,-42.97719041677584,9.007673178350302,55.167213808181515,15.67766917899126,-17.069791734996805,47.81159165043407,-26.794581924353707,53.66464573680304
2021-10-12,285,2021,BM,22.829426505277787,5.301541762660409,-4.36073795965616,4.34737041882523,31.0310355188022,5.626580911710091,-9.5769938745316,31.38394446693644,-14.347149978724055,33.13912506663096,56.17239773292258,12.18000595735548,-45.24921859388555,8.717545693427855,54.931172425446576,16.24005294350873,-19.805618052986986,49.43387900545434,-30.21954184155645,55.5603134102503
2021-10-13,286,2021,BM,22.83489610244824,5.491018074926337,-4.673512630920726,4.504477744975847,31.137686978361863,5.786512778743661,-10.405170144788778,32.418779395672324,-15.516316685782598,34.24153361973972,56.46481865034302,12.62478350113074,-47.56392472701373,8.470278648207245,54.70787709632097,16.813178171308664,-22.57632120026095,51.09702928468844,-33.71595918465317,57.498339346935154
2020-07-13,195,2020,GC,15.19067390323685,3.14891686093009,3.086231777691752,2.845162152259665,15.752569386463565,3.2168059765718295,88.58623823291941,20.943838476438376,92.70040776231576,22.026747409205093,30.68158868419357,7.295852852403327,-4.3512271247650425,7.227712764375004,36.848137751804124,9.737033448109145,153.84619403458464,31.380210666408257,157.79053238059385,34.80987531930566
2020-07-14,196,2020,GC,15.155229121131448,3.025785643856908,3.2006964532880056,2.7280066399663156,15.85041571742559,3.1212511088278276,88.7007899792358,20.140067877583597,92.88656864171645,21.17250750643847,30.543743350355562,7.00923431127672,-2.894067993081988,6.399887472264455,38.07333030353943,9.256703653009632,154.43136651649363,30.073722746152836,159.80150932603485,33.21538368427528
2020-07-15,197,2020,GC,15.102969386062792,2.9119984595656434,3.31362316395589,2.616746924695704,15.944581601045941,3.033776318613821,88.80251974707757,19.37123164669196,93.0595099804302,20.355541671553457,30.399135909564485,6.7415684363819715,-1.4928057413043234,5.590414029251226,39.196694698166645,8.811746118562434,154.82586540421454,28.833216970604997,161.50102537845606,31.70997306062301
2020-07-16,198,2020,GC,15.032615951366711,2.8079928966969843,3.4248384674742085,2.511648444209354,16.03484303564722,2.954496902381179,88.890415031754,18.638827626800285,93.21817334050436,19.577471154715926,30.247405815522324,6.493524260180165,-0.1719779562931052,4.829000843375964,40.17911822789496,8.405579686639966,155.01685271952425,27.663241945667703,162.84970698532555,30.301462604782305
2020-07-17,199,2020,GC,14.942890070379043,2.7138637467055973,3.5341689216217738,2.4128662479286724,16.120976019552064,2.88334702972398,88.96346332857436,17.943807120140896,93.36150028398623,18.839330034477857,30.088192521930992,6.2653126314332575,1.0438777750919321,4.149031336216388,40.9814881849349,8.039454601158312,154.9914904841998,26.566249655086434,163.80818059411163,28.993861486107715
2020-07-18,200,2020,GC,14.83251299643566,2.629335620714258,3.641441084177392,2.3204319772354207,16.202756551083073,2.820075642866223,89.02065213284787,17.2865217125207,93.48843237292306,18.141506235009928,29.921135482492456,6.056643004834694,2.130223865990864,3.585243000653713,41.56469186149649,7.712197348963446,154.7369407200178,25.542376250667854,164.3370726522819,27.786910194215384
