date,site,sample,average.depth,cobble,sand,gravel,pebble,cpom.om.area.g.m2,epil.om.area.g.m2,epip.om.area.g.m2,fbom.area.g.m2,fila.om.area.g.m2,macro.om.area.g.m2,epil.chla.mg.m2.ritchie,epip.chla.mg.m2.ritchie,fbom.chla.mg.m2.ritchie,fila.chla.mg.m2.ritchie,total.chla.mg.m2.ritchie,phicocyanin.mg.m2,epip.phicocyanin.mg.m2,fbom.phicocyanin.mg.m2,total.algal.biomass.g.m2,year
2020-08-03,DL,3,28.5,0,0,0,1,NA,3.435837537,NA,5.7e-8,9.162374654,NA,9.904308486,NA,6.7117101,38.34138773,54.95740631,7.487163901,NA,2.691255,12.6,2020
2020-08-03,DL,4,31.375,0,0,0,1,NA,3.158796968,NA,5.02e-8,4.782169897,NA,4.141701148,NA,6.73268356,11.22868076,22.10306547,5.931964154,NA,2.232645,7.94,2020
2020-08-03,DL,5,30.625,0,0,0,1,NA,2.89840333,NA,1.86e-8,NA,NA,8.529618008,NA,5.09495875,NA,13.62457676,7.108442317,NA,3.276875,2.9,2020
2020-08-10,DL,1,22.75,0,0,0,1,NA,2.718349231,NA,4.95e-8,3.968074722,NA,8.559165381,NA,3.70898675,8.142132198,20.41028433,11.73274604,NA,5.216575,6.69,2020
2020-08-10,DL,2,25.375,0,0,0,1,NA,1.166418943,NA,1.27e-8,2.344185321,NA,4.762349325,NA,1.575846708,2.178918383,8.517114417,3.753297857,NA,2.918125,3.51,2020
2020-08-10,DL,3,19.875,0,0,0,1,NA,1.131768626,NA,1.21e-8,1.225390662,NA,3.202651078,NA,1.5038485,2.780349626,7.486849204,4.546108795,NA,1.96702875,2.36,2020
2020-08-10,DL,4,19.875,0,0,0,1,NA,2.240933058,NA,2.82e-8,10.33935303,NA,4.577419501,NA,3.094897238,15.75748692,23.42980366,3.31407108,NA,2.17035,12.6,2020
2020-08-10,DL,5,24.25,0,0,0,1,NA,2.524264942,NA,4.36e-8,3.381597814,NA,6.203890717,NA,2.964473583,5.028603489,14.19696779,5.419815467,NA,3.043375,5.91,2020
2020-08-17,DL,1,17.5,0,0,0,1,NA,2.112842623,NA,3.89e-9,3.892885924,NA,4.622465342,NA,0.84795375,5.232400862,10.70281995,6.61724538,NA,4.4135,6.01,2020
2020-08-17,DL,2,18.625,0,0,0,1,NA,3.831410937,NA,9.31e-9,3.776207389,NA,7.384924685,NA,0.808948091,8.033025924,16.2268987,7.05508083,NA,10.351775,7.61,2020
2020-08-17,DL,3,19.5,0,0,0,1,NA,1.438094432,NA,8.13e-9,1.456204132,NA,5.274596146,NA,1.949181,2.649483442,9.873260588,5.032161329,NA,6.4662,2.89,2020
2020-08-17,DL,4,23.5,0,0,0,1,NA,1.963057359,NA,6.41e-9,8.622095051,NA,3.410830877,NA,1.010357192,14.26498801,18.68617608,5.115781259,NA,10.3541,10.6,2020
2020-08-17,DL,5,23.75,0,0,0,1,NA,3.030520949,NA,3.85e-8,4.019317245,NA,7.063140314,NA,1.973253636,6.937921194,15.97431514,5.887418302,NA,6.685625,7.05,2020
2020-08-24,DL,1,21,0,0,0,1,NA,1.142992778,NA,1.17e-8,6.700683482,NA,2.944724715,NA,2.356107923,13.13219733,18.43302996,5.305025132,NA,5.1891,7.84,2020
2020-08-24,DL,2,21.875,0,0,0,1,NA,3.355219622,NA,1.94e-8,9.98919462,NA,11.23211492,NA,2.921272083,15.30123254,29.45461954,11.25333446,NA,5.53875,13.3,2020
2020-08-24,DL,3,23,0,0,0,1,NA,0.824273638,NA,1.04e-7,4.523668768,NA,3.77650987,NA,7.751891889,9.83664757,21.36504933,2.808376281,NA,13.1836,5.35,2020
2020-08-24,DL,4,30.25,0,0,0,1,NA,1.646208911,NA,1.59e-7,3.657234926,NA,5.851397614,NA,13.47508181,8.015259388,27.34173881,6.039786161,NA,25.21035,5.3,2020
2020-08-24,DL,5,28.125,0,0,0,1,NA,2.219320897,NA,2.72e-7,3.922227209,NA,10.28647158,NA,12.84085483,9.390547165,32.51787358,12.13892002,NA,31.10625,6.14,2020
