doy,site,phicocyanin.mg.m2_mean,phicocyanin.mg.m2_se,filamentous_chla.mgm2_mean,filamentous_chla.mgm2_se,filamentous_gm2_mean,filamentous_gm2_se,epilitheon_chla.mgm2_mean,epilitheon_chla.mgm2_se,epilitheon_gm2_mean,epilitheon_gm2_se,year
231,BM,34.825949097216835,5.212129303128449,10.394510486782133,15.630618184311944,6.9977632819216975,14.930560608306564,44.990956621162354,6.079482165065825,16.48756607662214,2.3043064533774498,2020
232,BM,35.43253996727689,5.24435862610536,9.687449937482743,15.684106460621097,6.603399359632719,15.042368049978755,45.49719813417405,6.108215118528329,16.638960259657868,2.319757899902055,2020
233,BM,36.010271910234096,5.277169415830053,9.025560021868536,15.734900721613666,6.221828460403518,15.148890199404551,45.94963668698188,6.135414381261044,16.779775885742993,2.3348675881115577,2020
234,BM,36.55830332970856,5.310839214323418,8.409482893828065,15.78339252740195,5.853001199467363,15.251477422382168,46.352097325291744,6.162522022081278,16.909963941216766,2.3497144046974214,2020
235,BM,37.075792629320425,5.345678208476793,7.839860707249849,15.830049671060184,5.496868192057532,15.351575181807767,46.708405094809585,6.191044366425878,17.029475412418446,2.3643918848210475,2020
236,BM,37.56189821268977,5.3819615380770385,7.317335616022458,15.875277086732615,5.153380053407255,15.450499605759006,47.02238504124127,6.222387069856015,17.138261285687285,2.3789830970835673,2020
237,BM,38.015778483436755,5.41988341311999,6.84254977403443,15.919321682754205,4.8224873987498205,15.549285598819258,47.29786221029278,6.2577384006899015,17.23627254736256,2.393543670470373,2020
238,BM,38.43661998143777,5.459603510723943,6.416069655230464,15.962371882423778,4.504124958450328,15.64884213981715,47.53882855798637,6.298160377534343,17.32347872539589,2.4081199930353985,2020
239,BM,38.82372179159442,5.501412229705479,6.038159013779613,16.004914976894053,4.198163923401229,15.750503376773878,47.74994368160986,6.34493415789775,17.399923514188433,2.4228137535405017,2020
240,BM,39.176411135064555,5.545417351698465,5.7090059239071635,16.04707288178829,3.9044595996267892,15.854976847064068,47.93603408876737,6.398816282956345,17.465669149753705,2.437662951713269,2020
241,BM,39.494015233006046,5.591423941301166,5.428798459838342,16.088334973392172,3.6228672931512818,15.961934041586845,48.10192628706313,6.459749710986133,17.520777868105238,2.4525954772176766,2020
242,BM,39.77586130657677,5.638926180481855,5.197724695798375,16.12752478677795,3.35324230999899,16.069973383690815,48.252446784101295,6.526844822790604,17.565311905256557,2.4674246741969594,2020
243,BM,40.02127657693458,5.687131717932045,5.015972706012505,16.162835364573734,3.0954399561941757,16.176691702804483,48.39242208748601,6.598449699429619,17.599333497221192,2.481856720050918,2020
244,BM,40.22958826523738,5.735015704210024,4.883730564705984,16.19193055991901,2.8493155377611434,16.278856177518087,48.52667870482149,6.672299178092335,17.622904880012666,2.4955090553100754,2020
245,BM,40.40012359264301,5.781401467591193,4.801186346103998,16.21210950757937,2.6147243607241344,16.372667898144016,48.66004314371184,6.745729513941577,17.6360882896445,2.50793908187705,2020
246,BM,40.53233189637728,5.825163175273371,4.768162853042985,16.220762521663136,2.391495337112872,16.454439817824152,48.796852448939305,6.816159276599039,17.63895058053394,2.5187208958385043,2020
247,BM,40.62627887610866,5.86575065580532,4.7826463233007,16.216605393329722,2.179325482485789,16.522374419050873,48.93894821265485,6.882264366430681,17.631580321784327,2.5276498887920353,2020
248,BM,40.68266394025772,5.903286219617943,4.84075580525344,16.19994516125878,1.9777801364349623,16.576920802912017,49.08553215881558,6.9442007400871395,17.614083665187717,2.5347830734546513,2020
249,BM,40.70231439541609,5.93811345005429,4.938234867774275,16.17165233763392,1.7863983180594918,16.6192710053336,49.2352684100356,7.002601423855825,17.58657000360742,2.5402653095223457,2020
250,BM,40.686057548175356,5.970609500322696,5.070827079736297,16.132730067955354,1.604719046458516,16.650729006564575,49.38682108892899,7.058148630982483,17.549148729906726,2.5442571136197203,2020
251,BM,40.63472070512718,6.001115357824001,5.234276010012635,16.08415081993984,1.4322813407311417,16.672473163604028,49.53885431810984,7.111410581132882,17.501929236948943,2.5469078184574006,2020
252,BM,40.54913117286315,6.029882888081555,5.424325227476357,16.026725548767264,1.2686242199764863,16.685371924824995,49.69003222019226,7.1627205580952875,17.445020917597375,2.548334675933536,2020
253,BM,40.430116257974866,6.057037727309261,5.6367183010005855,15.961004304019974,1.1132867032936673,16.68985015700438,49.83901891779029,7.21209538123086,17.378533164715325,2.5486076300977016,2020
254,BM,40.27850326705398,6.082557357529247,5.8671987994583965,15.887208055091962,0.9658078097818124,16.685804629662314,49.984478533518086,7.259191100785592,17.30257537116609,2.547739611600132,2020
255,BM,40.095119506692114,6.106263818222712,6.1115102917228965,15.805192062099849,0.825726558540025,16.672567820071126,50.125075189989715,7.303293808984379,17.21725692981298,2.5456822793922727,2020
256,BM,39.88079228348085,6.127830536226576,6.365396346667199,15.71444145773676,0.6925819686674293,16.648919414311877,50.259473009819246,7.3433432703455,17.12268723351929,2.5423271726550984,2020
257,BM,39.63634890401185,6.146802760096948,6.62460053316438,15.614099939276972,0.5659130592631499,16.613144966393044,50.38633611562084,7.37798694498724,17.018975675148333,2.537512258744799,2020
258,BM,39.36261667487669,6.1626311361684705,6.8848664200875405,15.503032746193991,0.445258849426283,16.563141457743075,50.50432863000853,7.4056622022143905,16.906231647563402,2.5310338974163726,2020
259,BM,39.06047536756528,6.17483946444177,7.141985023913486,15.3802218915683,0.330163669104542,16.497012672676835,50.61185014976957,7.424993215752633,16.78456441765283,2.5227137793225363,2020
260,BM,38.73101461316061,6.183428360997507,7.391937151533473,15.245765381350923,0.2201930916397925,16.4145502549914,50.70624216838386,7.435744206066476,16.654082748405056,2.5125646803965407,2020
261,BM,38.37537650764391,6.188507961057696,7.630751057442634,15.10001338167793,0.11491800122249574,16.31592755732037,50.78458165350435,7.437943315504773,16.514895276833514,2.5006442010978884,2020
262,BM,37.99470314699649,6.190169287929421,7.854454996135963,14.94325458600105,0.013909282043127691,16.201232506559435,50.843945572784115,7.431573552836142,16.367110639951676,2.4870028250819156,2020
263,BM,37.590136627199584,6.188488965844441,8.059077222108497,14.775723836896189,-0.0832621817078607,16.07048055605544,50.88141089387614,7.416579283440879,16.210837474773005,2.471685821380023,2020
264,BM,37.16281904423444,6.183545563242259,8.240645989855242,14.597641443359864,-0.17702550584002563,15.923671392258022,50.89405458443346,7.3928994364884915,16.046184418310947,2.45474007733685,2020
265,BM,36.71389249408237,6.175447733370957,8.395189553871234,14.409287245551933,-0.2678098061628882,15.760892842746937,50.87895361210909,7.360528404350301,15.873260107578957,2.4362261555264144,2020
266,BM,36.24447101058684,6.164484424585189,8.519103728842689,14.211402023713983,-0.3560183982677396,15.58289911618818,50.83336565825013,7.319865061784598,15.692179361267158,2.41628272135871,2020
267,BM,35.75555637904055,6.151461479044693,8.610254570220684,14.006115164645507,-0.4419513968728097,15.39244553551223,50.75527125897986,7.272499110412478,15.503081724772338,2.395273681261444,2020
268,BM,35.24812232259832,6.137305454414227,8.666875693647384,13.795967683452824,-0.5258831164780626,15.192839533838926,50.642831664115704,7.220270992291169,15.306112925167909,2.373626117852962,2020
269,BM,34.72314256441507,6.12291195938735,8.687200714765165,13.583525221234392,-0.6080878715834441,14.98737938358678,50.494208123475,7.164907416491194,15.101418689527323,2.351767569394239,2020
270,BM,34.18159082764573,6.109122307816751,8.669463249216166,13.371316090031264,-0.6888399766889364,14.779270854036401,50.30756188687519,7.107956443626358,14.889144744924018,2.3301165711450933,2020
271,BM,33.624440835445164,6.096713069489216,8.611896912642719,13.16180087130922,-0.7684137462944935,14.571588312664543,50.08105420413361,7.050751035850723,14.669436818431421,2.3090782095859734,2020
272,BM,33.052666310968284,6.0863989979323945,8.512735320686971,12.957377408147288,-0.8470834949000865,14.367285205350706,49.81284632506765,6.9944038002929165,14.442440637122983,2.2890450829830367,2020
273,BM,32.467198347875396,6.078906985075712,8.370576389347436,12.760581250771548,-0.925099710779175,14.169483618786243,49.501430851217314,6.93995545321597,14.208313576470053,2.2704293060555716,2020
274,BM,31.868759730172364,6.075191891456134,8.185807191752934,12.57468256773205,-1.0025961432571944,13.982333816322697,49.14694157754636,6.88881529911977,13.96727150711457,2.253757970312337,2020
275,BM,31.257879445665658,6.076343509758157,7.960506924210091,12.403439870777719,-1.07959697926555,13.810669361992908,48.75110679687614,6.8425414841996535,13.719589554412302,2.239632705036224,2020
276,BM,30.63504869048565,6.083290395318364,7.697086738730945,12.250266483779622,-1.1561049716936869,13.658823714699302,48.31597058856147,6.8022074651820414,13.465554745297972,2.2285961462153026,2020
277,BM,30.0007586607627,6.096724774215158,7.397957787327495,12.11796961128662,-1.232122873431092,13.53026911663729,47.84357703195744,6.768241983827557,13.205454106706314,2.2210925702789965,2020
278,BM,29.35550055262712,6.117120180627243,7.065531222011935,12.008747127214017,-1.3076534373672133,13.427620296473757,47.33597020641899,6.740481903020879,12.93957466557204,2.217469050086091,2020
279,BM,28.699765562209237,6.144783502676025,6.702218194796139,11.924299925254806,-1.3826994163915407,13.35279644815387,46.79519419130111,6.718320788809117,12.668203448829903,2.2179927383551914,2020
280,BM,28.03405263675499,6.180026319640037,6.310478026826906,11.866322049301427,-1.4572614621873874,13.30771600942393,46.22338136044866,6.70117210908494,12.391636502674928,2.2229224972312496,2020
