date,doy,year,site,epil_gm2_fit,epil_gm2_se,epip_gm2_fit,epip_gm2_se,fila_gm2_fit,fila_gm2_se,epil_chla_mgm2_fit,epil_chla_mgm2_se,epip_chla_mgm2_fit,epip_chla_mgm2_se,fila_chla_mgm2_fit,fila_chla_mgm2_se
2020-08-22,235,2020,DL,2.672699690801486,0.5147096133016804,0.27361389882137394,0.12145094520552312,4.986312578012444,1.0383995529792682,7.165270384291347,1.2577542436333147,3.149460482203958e-11,1.059314492639463e-8,9.096178737637928,1.9284470748672553
2020-08-23,236,2020,DL,2.709742344864094,0.5285568541778953,0.27146872273878486,0.12305739968427021,5.035463035680488,1.06469340400496,7.213506083102782,1.2827288485487212,2.2903523770157752e-11,7.639052557736403e-9,9.198329732436223,2.002476824708377
2020-08-24,237,2020,DL,2.749898816978484,0.5436223562556773,0.26957288053108647,0.12569976364022434,5.094264479607527,1.0940029251323549,7.277120675043429,1.3112571134035074,1.7715645489676438e-11,5.858484570688062e-9,9.328289259358865,2.097040608473626
2020-08-25,238,2020,DL,2.792946287267101,0.5596245282369057,0.26810819335067254,0.12907120767133973,5.162349371790311,1.1255741342505636,7.355537719134354,1.342861538194388,1.4766320653176605e-11,4.840917765154796e-9,9.480668526978913,2.227951331552931
2020-08-26,239,2020,DL,2.838830852848734,0.576357688944214,0.26723305566880434,0.13291903877675834,5.239335470485272,1.1589797355688045,7.448162770504638,1.3771580265302497,1.3218347796981652e-11,4.2953027796317e-9,9.65399899714472,2.424042380999516
2020-08-27,240,2020,DL,2.887542701617486,0.5935946338167398,0.26709622622911416,0.13702862783645456,5.324772432121725,1.1939155282459917,7.554416067772975,1.4136906559287734,1.2612894239651406e-11,4.0618783603224484e-9,9.85480761564399,2.6975936177378816
2020-08-28,241,2020,DL,2.939072914565762,0.6110468562129864,0.2678439864281266,0.1412061871355748,5.418141043928569,1.230036303891995,7.673735522570102,1.451860267745962,1.2732924597563052e-11,4.063231930342866e-9,10.100416037865086,2.9938055754987873
2020-08-29,242,2020,DL,2.99341294535014,0.6283709926178106,0.2696236706350059,0.14527915720482046,5.518891468540437,1.2668741900004374,7.8055647580691225,1.4909301597072875,1.3497724140612342e-11,4.267501114683667e-9,10.414539475906627,3.1928786445020063
2020-08-30,243,2020,DL,3.0505540963104605,0.6451822727814651,0.2725876655274041,0.14909596876322842,5.626491222205083,1.3038092904388559,7.949341673206602,1.5300459327681808,1.4912657049211287e-11,4.670680692688541e-9,10.813248364751399,3.2088322552590633
2020-08-31,244,2020,DL,3.1104869890160423,0.6610752300480667,0.2768978831611573,0.15252659045333758,5.740460212965162,1.3401115766102722,8.10448745353372,1.5682701974918951,1.7043341586384555e-11,5.287373739912436e-9,11.289862817192033,3.1011575618700298
2020-09-01,245,2020,DL,3.1732010276972615,0.6756529087123918,0.2827307606481492,0.15546539785419264,5.860375606402015,1.3750228542712006,8.270395979117675,1.6046346352096899,1.999874928042657e-11,6.144744240864248e-9,11.815111379516654,3.0369312656034473
2020-09-02,246,2020,DL,3.238669235445842,0.688620573541314,0.29024547309326043,0.15786663601392636,5.985870961597389,1.4079943399557655,8.446441791533907,1.6383302119158138,2.3873606007496872e-11,7.2644045846259e-9,12.357546282452883,3.095878223498759
2020-09-03,247,2020,DL,3.306782532895798,0.7000243782024673,0.2994639392706156,0.15983359945318099,6.1166787596888055,1.4391830330011115,8.632047277718794,1.6692307145927179,2.8520294257210894e-11,8.593959990754273e-9,12.905052101656276,3.225726126130502
2020-09-04,248,2020,DL,3.3773286447476094,0.7102008606583582,0.31035285004982593,0.1615182104273406,6.252521230587215,1.468899189090074,8.826686177433379,1.6978365620323452,3.3401840231161075e-11,9.966721229077746e-9,13.464972356501539,3.3732925697325293
2020-09-05,249,2020,DL,3.4500578785772555,0.719499630040337,0.3228768683384627,0.1630309079782409,6.393055359824173,1.4973565828302975,9.029804554599256,1.7247067627827912,3.7545630451075e-11,1.1093663284200619e-8,14.047869427748529,3.523107335702037
2020-09-06,250,2020,DL,3.524700032506294,0.7281736090690132,0.33700165849027175,0.16441479576410567,6.537863460926465,1.524605793382822,9.240794986946222,1.750242262227227,3.965639433835178e-11,1.160260515488563e-8,14.658718589928009,3.6716802141874476
2020-09-07,251,2020,DL,3.60096282245859,0.7363344093645052,0.35269081137706015,0.16563665755974177,6.686457650764446,1.5504940105074478,9.458990054876024,1.7746063667151448,3.8532223089761335e-11,1.1163075691798815e-8,15.297763961146224,3.815995402279877
2020-09-08,252,2020,DL,3.678530495599568,0.7439254991323033,0.36990349430246844,0.16658525175366745,6.838285344408647,1.5746517425377344,9.683656172125714,1.7976753044003815,3.371973305210008e-11,9.672660881300918e-9,15.962936942037082,3.9522736038910793
2020-09-09,253,2020,DL,3.7570542133214557,0.7507720678906802,0.38856420558128146,0.16710719436294763,6.992718443342565,1.5966309050436838,9.914016649244532,1.8191427722525468,2.6170241223998105e-11,7.432684114945269e-9,16.651134696928825,4.076998449208301
2020-09-10,254,2020,DL,3.836124589255407,0.7567909938917998,0.40847236253623753,0.16713086197502514,7.149011220047965,1.616336332583485,10.14933767693568,1.8389492024678573,1.815505765924393e-11,5.104697828286056e-9,17.358857120467274,4.189306854152098
2020-09-11,255,2020,DL,3.9152942864135927,0.7618927486345534,0.42938089981580185,0.1666197008661469,7.306334795060614,1.633725485240124,10.3888459366316,1.857045475917655,1.1412445980753747e-11,3.1763395417302793e-9,18.082010732219175,4.289146122652682
2020-09-12,256,2020,DL,3.994085889769294,0.7659351196237361,0.45102312193747945,0.1655404888618827,7.46378870002604,1.6486799344452778,10.631697554355592,1.873283195841145,6.589855922749294e-12,1.8151995143357395e-9,18.81579583733421,4.376534314233848
2020-09-13,257,2020,DL,4.071992097523225,0.7687345806594401,0.47311218633030033,0.16385759044221554,7.620400525583179,1.6610075948835736,10.87697527058264,1.8874265781278072,3.5433501680701982e-12,9.657645733202296e-10,19.55467962314292,4.451496284761528
2020-09-14,258,2020,DL,4.14847643152085,0.770094009560905,0.49534069948407955,0.16153620049322445,7.775126646648441,1.6704724977858667,11.123686267253284,1.899194610351551,1.7985316410123482e-12,4.8492920527122e-10,20.292381995685037,4.514066314708057
