site,date,epil_gm2,fila_gm2,epil_chla_mgm2,fila_chla_mgm2,GPP,ER,NPP,light,fila_prod_gCd,fila_turnover,epil_prod_gCd,epil_turnover
GR,2021-09-01,10.994532452285252,0.5395348778273475,27.64314411058398,0.7363178763308147,7.348956800003797,-6.432181672423199,5.1287224711135835,0.7340671654334453,0.011173879340796932,24.14268408364912,1.5886632276931922,3.4603093533705658
GR,2021-09-02,11.193300492139748,0.583569836265874,28.09803660638483,0.8310184265228977,7.256598498851605,-6.462390218317387,5.06426705146642,0.714091842312007,0.012267824650457426,23.784568694667257,1.5708642368209533,3.5627841763054784
GR,2021-09-03,11.398898940962813,0.6309219643651492,28.58552937870203,0.943969689472994,7.324007249596783,-6.575669592354892,5.1113105685403415,0.7094032353852994,0.013843759586284544,22.7872334979807,1.5876252991848805,3.5899210433391437
GR,2021-09-04,11.611404625109506,0.6818129663933216,29.10546278936459,1.0778043662652612,7.206064838297611,-6.434134293798401,5.029000396962374,0.6688347956438214,0.014902585831039573,22.875659772185983,1.5240596835019664,3.8093667691638418
GR,2021-09-05,11.83079693432521,0.7365183035918431,29.65752106779948,1.234849333996113,7.368938825916568,-6.734238390085385,5.142667615724742,0.6904159834458237,0.0176249398332025,20.894207599062643,1.6030766605218798,3.6900284389623974
GR,2021-09-06,12.057023469668271,0.795346773121656,30.241335057197418,1.4176999272536923,7.246635432875794,-6.773428981166476,5.057313982923236,0.6625069567133686,0.019416797189063806,20.4808951079126,1.5685559323487437,3.843351461370643
GR,2021-09-07,12.290020476719002,0.8586371934280513,30.85649832953327,1.629411298005892,7.51672341295426,-7.0086433263396195,5.245804176879116,0.6656631568724859,0.022422708854086797,19.14659818792489,1.608087835447852,3.8213150444286006
GR,2021-09-08,12.529711659054325,0.9267615725624032,31.502554663077586,1.87354451422598,7.570025547785795,-7.250952332383811,5.283002906455086,0.6765349279925695,0.02620336543462682,17.684018010482742,1.6685706636243498,3.7546242218589
GR,2021-09-09,12.776006973028297,1.0001286458951748,32.17898536834347,2.1542186600854216,7.456561185795441,-7.276198805148833,5.203817895732176,0.6478091488717985,0.028849593286014268,17.333496454870616,1.6320295957584792,3.9141468409127405
GR,2021-09-10,13.028752108912563,1.0791838272217928,32.88521215926496,2.4760067493611273,7.684979615692601,-8.042914946099037,5.363227559730943,0.5805047679165718,0.029713954201597097,18.159545846708408,1.4945658197308718,4.35870803979
GR,2021-09-11,13.287571921113296,1.164400008563804,33.62063397284191,2.843386662892638,7.479142437989045,-7.044179603472446,5.219576999874844,0.6080009362771281,0.03573905002298111,16.290304412331405,1.6003639256866207,4.1514219696661785
GR,2021-09-12,13.552003478635664,1.2562912603039935,34.38457185707047,3.261010093769881,8.508250533317746,-7.361403483336454,5.937775508500514,0.5981431333659537,0.040323674355982574,15.577589100800846,1.6101908305084551,4.208197942089977
GR,2021-09-13,13.821541118181608,1.3554209795918082,35.176241515143694,3.733756751463501,8.184502272643561,-6.654624751742454,5.711836640618916,0.6119534700148535,0.04723536297361548,14.347523701140108,1.6852969811596765,4.100624777916238
GR,2021-09-14,14.095634150374586,1.46240688703956,35.99474085466621,4.266618971868031,8.57106369578085,-7.024216327198851,5.981611836100925,0.6335640409820451,0.05588267857880757,13.08461695315147,1.7854108843030623,3.9474482524723817
GR,2021-09-15,14.373684755906362,1.577926568089127,36.839037540470656,4.864545378897976,7.051067115111296,-6.4939470478525205,4.9208299004537155,0.610701946385684,0.06141499170598373,12.846428243801162,1.7613521184876293,4.080298483487847
GR,2021-09-16,14.655090671931942,1.702702060802732,37.70804642133473,5.532343798120799,8.803526502144733,-6.541167682518557,6.143844007433862,0.6443543858731718,0.0736947897284149,11.552391065078321,1.9022492811983431,3.8520426362573796
