site,date,epil_gm2,epip_gm2,epi_gm2,fila_gm2,filaepip_gm2,epil_chla_mgm2,epip_chla_mgm2,epi_chla_mgm2,fila_chla_mgm2,filaepip_chla_mgm2,GPP,ER,NPP,light,NPP_light,fila_prod_gCd,fila_turnover,epip_prod_gCd,epip_turnover,epil_prod_gCd,epil_turnover
GC,2021-08-13,7.666694197851512,1.6611727602981146,10.154995266817856,45.9743455039978,49.023456325596015,26.22543503092996,2.945372021781464,29.023877979072225,103.16919445715055,107.35272989239512,10.848804736996922,-8.072083327160389,6.757551471597157,0.8233964697870095,8.20692305536014,0.44115563095487725,52.10671957704219,0.031914346870608255,26.02548576402144,1.399563053758533,2.7389599122606763
GC,2021-08-14,7.732358989921532,1.7995961691473952,10.33988925942784,48.12583244185412,51.23834937817506,26.06533516479051,3.3797477563499507,29.47926487169227,106.907989694461,111.30328761575292,10.97514573105454,-7.978951147730081,6.8362473086975895,0.8188851578909363,8.348236920430397,0.45463822714712665,52.92761317481558,0.03642034800738636,24.705916714228287,1.3833978008904726,2.7946983090996413
GC,2021-08-15,7.808948254224965,1.9497863703987008,10.53967505457116,50.378592054381215,53.55117879259471,25.92277597926217,3.8728093912969848,29.963323126633515,110.72353144154468,115.3184225559292,10.952982166341302,-8.23915860353834,6.822441969494365,0.8087639025325549,8.435641042003285,0.46504445963818686,54.16535022648876,0.041217788379637965,23.65224393458622,1.3588265799626358,2.8734160669861533
GC,2021-08-16,7.89450782386069,2.1107134888841146,10.750875227095708,52.70413054194604,55.93501173070532,25.796942319403424,4.419769436929689,30.456342685647396,114.53365660529504,119.29845870105083,11.718795500972554,-8.198885581539539,7.299455166050307,0.7836592250065677,9.314578241568114,0.46611509031095066,56.53553343101005,0.04557888197123674,23.154511449141218,1.310256281695248,3.012581559100233
GC,2021-08-17,7.98702760330685,2.280818777974491,10.969746460366,55.068151502608835,58.357642738403634,25.687060588097623,5.010074866374736,30.93736316183102,118.2453788478926,123.13074163244764,10.009260631042093,-9.455674195401008,6.234612526137235,0.6862211631002229,9.085427354018616,0.42138693992315135,65.34154987415089,0.04524234700586037,25.20668056499202,1.1424554801039528,3.4955531057455755
GC,2021-08-18,8.084491819631968,2.458033475594593,11.192408869440268,57.431798558667744,60.78276883590823,25.592382254996082,5.6269453209036575,31.385424046616965,121.7614430359232,126.69822123076617,6.748191206691425,-7.330296877043174,4.203343181565972,0.5636531491656303,7.457322269534263,0.35641379979486193,80.56898833844716,0.04173701985453076,29.446681676863438,0.9349393075988472,4.3235383056013115
GC,2021-08-19,8.185184828441093,2.640224320246277,11.41555642060241,59.758663075857,63.176437877115745,25.51215952866846,6.251130324509207,31.785060012999413,125.0079630690452,129.91465438911916,11.8185715393066,-8.14317450272327,7.361604106050586,0.5917550340458752,12.440289786330547,0.3841602510406538,77.77830074035045,0.0486785146096229,27.118990189198893,0.978475488154581,4.182621295847927
GC,2021-08-20,8.287936368424367,2.825531273652369,11.63695129405018,62.01908973076987,65.51072943417628,25.445768701300153,6.864915807577967,32.12934083133526,127.94869204777451,132.74263877485933,11.127004265700943,-7.432100429894954,6.930837624327,0.6540895514211617,10.596160127108197,0.43461613871146487,71.34927146819945,0.059089352389508035,23.90897140847725,1.0787319810037255,3.841517872081955
GC,2021-08-21,8.392160591405634,3.01249613281863,11.8554903685662,64.1910650835702,67.76431317406669,25.39278583003284,7.45474929728929,32.41968332331807,130.58459662824734,135.1927572232147,7.951248027790462,-8.368657025225113,4.952708534608837,0.5474018932220758,9.047664240721888,0.3712197156031994,86.45966577942306,0.053700229411019026,28.049192395074577,0.9009017123172389,4.65764493321912
GC,2021-08-22,8.497378299077086,3.199632380276201,12.070280215946044,66.25381902709462,69.91674245635996,25.35284897767145,8.008634246772923,32.659584096330704,132.92827188303485,137.29095967240104,10.037331299061035,-7.580128369468617,6.252097307970688,0.7688281968821474,8.131982324952453,0.5307371014446702,62.41679623183611,0.08102603101179223,19.744471871086333,1.2633300883455174,3.3630871208828026
