site,date,doy,epilithon_gm2,filamentous_gm2,epilithon_chla_mgm2,filamentous_chla_mgm2,NPP,NPP_chla,year,site_year,epilithon_gm2_upper,epilithon_gm2_lower,filamentous_gm2_upper,filamentous_gm2_lower,epilithon_chla_upper,epilithon_chla_lower,filamentous_chla_upper,filamentous_chla_lower,frac_fila,frac_fila_upper,frac_fila_lower,NPP_mod,NPP_upper,NPP_lower,PAR_bc_Jm2
GC,2021-08-28,240,13.803442451055473,54.15996209663451,34.74740305201508,101.31697748532456,5.689610769250406,5.689610769250406,2021,GC_2021,18.927965642240522,9.34956616899758,103.65961403261845,21.394142595014166,47.38677675799886,24.38029475858907,199.13769189189097,42.549042580470335,0.7750558180311389,0.8919264445980322,0.5876801408705619,5.637558071989194,6.561458227867945,4.630002780574984,38.34760032715452
GC,2021-08-29,241,12.31916786443179,50.49568606833954,33.21088600333513,95.94708223836018,5.329680289797476,5.329680289797476,2021,GC_2021,17.37165473291565,8.366967519745165,103.09856070957764,17.107819267204274,44.261419467700875,23.348410845460528,182.8383232689054,39.075844203295134,0.7953996182057523,0.9041141401678304,0.5385088936792957,5.28212164379943,6.206894184269007,4.353100286675302,40.89673629355686
GC,2021-08-30,242,13.459628047886524,53.678550612609186,33.56672637760756,98.57971996470842,5.560830215546317,5.560830215546317,2021,GC_2021,17.92216808511973,9.370215421435947,103.58020291241573,20.97535555029665,44.819926511906,24.26344462548462,191.45528053466708,40.49886369374394,0.7905943454574609,0.8920783099977028,0.5869929673478521,5.526812383480204,6.442608820560599,4.603489307198103,41.38505391834587
GC,2021-08-31,243,12.053345282771025,43.9775743418762,31.235485425360746,84.21153819968438,4.838039754344281,4.838039754344281,2021,GC_2021,16.71879431257896,8.296118862087495,88.37586156592812,17.05300754317691,42.20901343853271,22.349923504112642,171.38572624703417,33.30973366882564,0.7727673561260697,0.8972606142367235,0.5505918429201853,4.816116372477213,5.7105974193510844,3.868027191169915,41.62902105152124
GC,2021-09-01,244,11.290220060788316,43.10305192470371,29.27175685187944,78.36618138804873,4.372854201262677,4.372854201262677,2021,GC_2021,15.42189193328504,7.968532918172545,84.36914358106267,17.443247000859632,39.17004170792537,21.266059195232803,157.3635133062502,30.827053325114495,0.784354719845894,0.8903321282217576,0.5795471085896179,4.341114276380813,5.299191803801607,3.4297433184657797,42.422301544499334
GC,2021-09-02,245,11.649079022171337,41.54301393408037,30.4639087277848,78.93638931505244,4.663069918935316,4.663069918935316,2021,GC_2021,15.689095644758948,7.788572696036282,87.07020546429706,16.23400857494917,40.893713199562285,21.67345391882083,156.86317952902547,32.680004312372404,0.780525280734939,0.8850859529649291,0.5565313047374101,4.644595577832592,5.549275057768466,3.7154922910670325,41.5806394806914
GC,2021-09-03,246,11.976202935011424,44.33709581602346,30.013858202812788,77.80150719667807,4.529001279753117,4.529001279753117,2021,GC_2021,16.177339361776976,8.31038209909683,87.48807613205227,18.01626614560163,40.344790916870075,21.476249554877185,159.23741285113206,30.014346924520577,0.7781849772369664,0.8835853980915329,0.5654778614905339,4.5014472354834325,5.420633551492499,3.5641832338464665,41.50064566270187
GC,2021-09-04,247,11.721903648342527,42.17718074731986,31.448774352588895,83.31019911508105,4.8622363589061885,4.8622363589061885,2021,GC_2021,16.811969326989455,7.84552864227019,84.12222595784513,13.8984558928137,42.23101798018876,22.089236623944455,163.93068503093176,32.66284923997984,0.7516565837884963,0.8883463496293573,0.5056987021246911,4.828672247037887,5.764912819168506,3.8906428916938722,40.3751660299749
GC,2021-09-05,248,12.40946650046136,44.99559199391167,31.315127457522546,85.81149943728751,4.999289556256244,4.999289556256244,2021,GC_2021,17.069660431442053,8.442270299710257,86.73369397362377,17.812506639629603,41.81636694709054,22.141243523274618,166.22926031554792,35.096171527641474,0.7652449826817405,0.8877831718806048,0.5578398823288081,4.944596353513516,5.857009444503837,4.003800476151791,40.763349282038035
GC,2021-09-06,249,12.104317777240015,42.09291966197426,31.750164815981545,81.51704322671435,4.921488799495859,4.921488799495859,2021,GC_2021,16.283201800613845,8.401450310050135,86.3211346754106,15.779593634695477,42.33570533536318,22.47045579831334,164.6853291192835,30.33175458536608,0.7744852996892886,0.8859179599716827,0.5327737518629944,4.869069238327031,5.824483997744455,3.9546907611800197,39.13629869883727
GC,2021-09-07,250,12.026765648424798,41.77182322923888,32.57116144112096,84.17830063475937,5.265161814687933,5.265161814687933,2021,GC_2021,16.69802606357471,8.634478973257568,91.17366228113343,13.466311104729986,43.78043057151345,22.625626339720075,166.98029825244362,31.827142077480328,0.7637217455820856,0.8888357930838948,0.5168079715647644,5.233468291926482,6.151330465888985,4.2769667646703,39.49530231001344
GC,2021-09-08,251,13.026045706226988,43.700742618372665,32.94064185374109,92.92517430753709,5.583893369856588,5.583893369856588,2021,GC_2021,17.21368756642346,9.081920308221212,88.33652697510065,16.513040813000703,43.37273454209502,23.21638479434137,171.92085199820238,38.76695459300348,0.7615699996531173,0.8863168344957174,0.5310163575848381,5.524997546612618,6.4401957671338925,4.578170439727896,40.80788784469465
GC,2021-09-09,252,9.9282590479,72.849105287,26.550680215200003,170.44926516299998,5.449391659905939,5.449391659905939,2021,GC_2021,21.312622966018527,0,169.20955946549827,0,59.755449657419724,0,380.84286198924065,0,NA,NA,NA,5.381902478576699,6.308557161250351,4.454827974472308,39.02839595282104
GC,2021-09-10,253,12.901197458811959,42.295360490123485,33.67441314702534,82.60523641957924,5.316400808134965,5.316400808134965,2021,GC_2021,17.5883310550521,8.865153208556757,89.15632105599695,14.476657529482322,45.569603163918444,23.446503549703973,168.62988719394158,28.97196122577767,0.7571325597006074,0.8869077771351968,0.5033917345466329,5.254063669497677,6.155519822733794,4.320242017180189,35.06701305650954
