time,do,temp
2020-08-23 16:30:09,290.2442829,15.76091171
2020-08-23 16:45:09,296.0075529,15.85683477
2020-08-23 17:00:09,301.1619739,16.04801631
2020-08-23 17:15:09,306.2213051,16.23974472
2020-08-23 17:30:09,310.4184795,16.52482517
2020-08-23 17:45:09,314.2675534,16.71601919
2020-08-23 18:00:09,318.0097649,17.00082342
2020-08-23 18:15:09,321.4507897,17.19174736
2020-08-23 18:30:09,324.547945,17.47700576
2020-08-23 18:45:09,325.6701778,17.66773512
2020-08-23 19:00:09,328.6304697,17.95274736
2020-08-23 19:15:09,331.53031,18.23900864
2020-08-23 19:30:09,333.4121023,18.52373512
2020-08-23 19:45:09,335.2040096,18.80782517
2020-08-23 20:00:09,336.4903997,18.99901919
2020-08-23 20:15:09,337.4206269,19.28382342
2020-08-23 20:30:09,338.1536382,19.47474736
2020-08-23 20:45:09,339.2610675,19.76000576
2020-08-23 21:00:09,338.6733493,19.95074472
2020-08-23 21:15:09,338.5749405,20.23582517
2020-08-23 21:30:09,337.8307372,20.42500288
2020-08-23 21:45:09,338.1121492,20.52083301
2020-08-23 22:00:09,336.7689373,20.71183477
2020-08-23 22:15:09,335.205848,20.90300576
2020-08-23 22:30:09,333.6061074,21.09192131
2020-08-23 22:45:09,332.1525439,21.18791258
2020-08-23 23:00:09,329.8488077,21.282
2020-08-23 23:15:09,326.9900222,21.28292131
2020-08-23 23:30:09,323.4192984,21.378
2020-08-23 23:45:09,317.9117779,21.378
2020-08-24 00:00:09,313.1202379,21.378
2020-08-24 00:15:09,306.9855541,21.37707781
2020-08-24 00:30:09,299.9380303,21.282
2020-08-24 00:45:09,293.344715,21.282
2020-08-24 01:00:09,286.6624109,21.282
2020-08-24 01:15:09,279.1734524,21.28099712
2020-08-24 01:30:09,271.1925311,21.18607869
2020-08-24 01:45:09,263.7469579,21.091
2020-08-24 02:00:09,256.3652313,21.08999712
2020-08-24 02:15:09,249.133805,20.99416699
2020-08-24 02:30:09,241.7031026,20.80408742
2020-08-24 02:45:09,235.238,20.70899712
2020-08-24 03:00:09,229.2762877,20.61407869
2020-08-24 03:15:09,223.9627455,20.51717483
2020-08-24 03:30:09,219.5460179,20.32799712
2020-08-24 03:45:09,215.6254569,20.23307869
2020-08-24 04:00:09,212.3532881,20.13617483
2020-08-24 04:15:09,209.6519382,19.94699712
2020-08-24 04:30:09,207.3678546,19.85116699
2020-08-24 04:45:09,205.0177633,19.66108742
2020-08-24 05:00:09,203.2846041,19.56499424
2020-08-24 05:15:09,202.033241,19.37608829
2020-08-24 05:30:09,201.0157981,19.28108742
