site,date,light_hrs,LAI,PAR_inc,PAR_surface
PL,2021-06-29,16,1.0883713341154992,15860.534452,15860.534452
PL,2021-06-30,16,1.0835130418225778,15705.489464,15705.489464
PL,2021-07-01,16,1.07836766867108,14666.526112,14666.526112
PL,2021-07-02,16,1.0732222955195823,15629.820947999999,15629.820947999999
PL,2021-07-03,16,1.0680769223680846,16365.818503999999,16365.818503999999
PL,2021-07-04,16,1.0628639873580954,14568.051763999998,14568.051763999998
PL,2021-07-05,16,1.0574483667726318,14289.993116,14289.993116
PL,2021-07-06,16,1.0520327461871681,16347.726891999999,16347.726891999999
PL,2021-07-07,16,1.0466171256017045,12717.659108,12717.659108
PL,2021-07-08,16,1.0411418945489097,16410.5592,16410.5592
PL,2021-07-09,16,1.0354878320941214,15381.239915999999,15381.239915999999
PL,2021-07-10,16,1.0298337696393332,16387.715315999998,16387.715315999998
PL,2021-07-11,16,1.0241797071845449,16240.377972,16240.377972
PL,2021-07-12,16,1.0184676820615501,16136.107036,16136.107036
PL,2021-07-13,16,1.0125817689339365,15874.905423999999,15874.905423999999
PL,2021-07-14,16,1.0066958558063226,16120.607187999998,16120.607187999998
PL,2021-07-15,16,1.000809942678709,15640.57698,15640.57698
PL,2021-07-16,15,0.9948658924202235,15926.300991999999,15926.300991999999
PL,2021-07-17,15,0.9887474307691233,16038.461376,16038.461376
PL,2021-07-18,15,0.982628969118023,15903.676964,15903.676964
PL,2021-07-19,15,0.9765105074669228,12099.681944,12099.681944
PL,2021-07-20,15,0.9703333825214369,11028.450496,11028.450496
PL,2021-07-21,15,0.9639802676927937,12948.774271999999,12948.774271999999
PL,2021-07-22,15,0.9576271528641505,15635.258155999998,15635.258155999998
PL,2021-07-23,15,0.9512740380355073,15862.386315999998,15862.386315999998
PL,2021-07-24,15,0.9448619114520487,15775.970224,15775.970224
PL,2021-07-25,15,0.9382727496041441,15606.824856,15606.824856
PL,2021-07-26,15,0.9316835877562394,15242.984316,15242.984316
PL,2021-07-27,15,0.9250944259083347,14550.573212,14550.573212
PL,2021-07-28,15,0.9184463276777908,14627.755351999998,14627.755351999998
PL,2021-07-29,14,0.9116214202993289,9189.57914,9189.57914
PL,2021-07-30,14,0.904796512920867,14931.24542,14931.24542
PL,2021-07-31,14,0.8979716055424052,14803.79236,14803.79236
PL,2021-08-01,14,0.891088432202449,12300.063775999999,12300.063775999999
PL,2021-08-02,14,0.8840304609780101,9074.383052,9074.383052
PL,2021-08-03,14,0.8769724897535711,14269.812871999999,14269.812871999999
PL,2021-08-04,14,0.8699145185291322,14283.710308,14283.710308
PL,2021-08-05,14,0.8627997089457685,12465.285559999998,12465.285559999998
PL,2021-08-06,14,0.8555143842856312,13024.886728,13024.886728
PL,2021-08-07,14,0.848229059625494,13519.173751999999,13519.173751999999
PL,2021-08-08,14,0.8409437349653567,11175.868171999999,11175.868171999999
PL,2021-08-09,14,0.8336039295149729,13665.38222,13665.38222
PL,2021-08-10,14,0.8261006816938492,13510.751576,13510.751576
PL,2021-08-11,14,0.8185974338727255,13764.122931999998,13764.122931999998
PL,2021-08-12,14,0.8110941860516019,13825.944748,13825.944748
PL,2021-08-13,14,0.8035399317260276,13847.0171,13847.0171
PL,2021-08-14,14,0.795832657887101,13774.642195999999,13774.642195999999
PL,2021-08-15,14,0.7881253840481746,13585.9381,13585.9381
