Year,DOY,Hour,SW,sitecode,date
2020,200,15,441.55,BM,2020-07-18
2020,200,16,573.72,BM,2020-07-18
2020,200,17,692.97,BM,2020-07-18
2020,200,18,803.58,BM,2020-07-18
2020,200,19,867.55,BM,2020-07-18
2020,200,20,879.38,BM,2020-07-18
2020,200,21,784.41,BM,2020-07-18
2020,200,22,685.95,BM,2020-07-18
2020,200,23,555.34,BM,2020-07-18
2020,201,0,338.42,BM,2020-07-19
2020,201,1,238.92,BM,2020-07-19
2020,201,2,130.97,BM,2020-07-19
2020,201,3,12.116,BM,2020-07-19
2020,201,4,0,BM,2020-07-19
2020,201,5,0,BM,2020-07-19
2020,201,6,0,BM,2020-07-19
2020,201,7,0,BM,2020-07-19
2020,201,8,0,BM,2020-07-19
2020,201,9,0,BM,2020-07-19
2020,201,10,0,BM,2020-07-19
2020,201,11,0,BM,2020-07-19
2020,201,12,0,BM,2020-07-19
2020,201,13,124.27,BM,2020-07-19
2020,201,14,265.4,BM,2020-07-19
2020,201,15,443.52,BM,2020-07-19
2020,201,16,577.06,BM,2020-07-19
2020,201,17,697.5,BM,2020-07-19
2020,201,18,797.12,BM,2020-07-19
2020,201,19,860.81,BM,2020-07-19
2020,201,20,872.6,BM,2020-07-19
2020,201,21,811.92,BM,2020-07-19
2020,201,22,709.87,BM,2020-07-19
2020,201,23,574.47,BM,2020-07-19
2020,202,0,428.38,BM,2020-07-20
2020,202,1,301.86,BM,2020-07-20
2020,202,2,164.61,BM,2020-07-20
2020,202,3,20.062,BM,2020-07-20
2020,202,4,0,BM,2020-07-20
2020,202,5,0,BM,2020-07-20
2020,202,6,0,BM,2020-07-20
2020,202,7,0,BM,2020-07-20
2020,202,8,0,BM,2020-07-20
2020,202,9,0,BM,2020-07-20
2020,202,10,0,BM,2020-07-20
2020,202,11,0,BM,2020-07-20
2020,202,12,0,BM,2020-07-20
2020,202,13,121.23,BM,2020-07-20
2020,202,14,261.52,BM,2020-07-20
2020,202,15,437.01,BM,2020-07-20
2020,202,16,569.39,BM,2020-07-20
2020,202,17,688.77,BM,2020-07-20
2020,202,18,795.03,BM,2020-07-20
2020,202,19,858.75,BM,2020-07-20
2020,202,20,870.59,BM,2020-07-20
2020,202,21,809.51,BM,2020-07-20
2020,202,22,707.6,BM,2020-07-20
2020,202,23,572.37,BM,2020-07-20
2020,203,0,425.42,BM,2020-07-21
2020,203,1,299.19,BM,2020-07-21
2020,203,2,162.25,BM,2020-07-21
2020,203,3,9.372,BM,2020-07-21
2020,203,4,0,BM,2020-07-21
2020,203,5,0,BM,2020-07-21
2020,203,6,0,BM,2020-07-21
2020,203,7,0,BM,2020-07-21
2020,203,8,0,BM,2020-07-21
2020,203,9,0,BM,2020-07-21
2020,203,10,0,BM,2020-07-21
2020,203,11,0,BM,2020-07-21
2020,203,12,0,BM,2020-07-21
2020,203,13,119.46,BM,2020-07-21
2020,203,14,260.39,BM,2020-07-21
2020,203,15,435.34,BM,2020-07-21
2020,203,16,568.04,BM,2020-07-21
2020,203,17,687.66,BM,2020-07-21
2020,203,18,785.8,BM,2020-07-21
2020,203,19,848.96,BM,2020-07-21
2020,203,20,860.74,BM,2020-07-21
2020,203,21,792.95,BM,2020-07-21
2020,203,22,692.96,BM,2020-07-21
2020,203,23,560.25,BM,2020-07-21
2020,204,0,421.02,BM,2020-07-22
2020,204,1,295.48,BM,2020-07-22
2020,204,2,159.3,BM,2020-07-22
2020,204,3,8.468,BM,2020-07-22
2020,204,4,0,BM,2020-07-22
2020,204,5,0,BM,2020-07-22
2020,204,6,0,BM,2020-07-22
